Source #,Date,Time,Time Source,Obs Window (min),Latitude,Longitude,Location Source,Info Source,Fire Behavior Observations,Type of Fire,Residual Fire?,SSI
TD-069,11/8,08:00,TD,0,39.767481,-121.588974,TD,TD,15 cm (6 in) chunk of bark glowing,S,,
911-143-1,11/8,08:32,911-143-1,0,39.773011,-121.614879,911-143-1,911-143-1,fire behind house,S,,
TD-105,11/8,08:40,Inferred,20,39.770416,-121.602386,TD,TD,spot fires on Bille Rd,S,,
911-170-2,11/8,08:43,911-170-2,0,39.768924,-121.602999,Inferred,911-170-2,fire started somewhere north of Elks lodge,S,,
911-174-1,11/8,08:44,911-174-1,0,39.768492,-121.583432,911-174-1,911-174-1,fence on fire,O,,
911-183-4,11/8,08:48,911-183-4,0,39.767435,-121.596977,911-183-4,911-183-4,fire behind house,S,,
TD-077,11/8,08:52,Photo,0,39.768403,-121.597561,TD,TD,fire started in field behind PID office,S,,
911-195-4,11/8,08:56,911-195-4,0,39.770306,-121.609809,911-195-4,911-195-4,fire at bike path,S,,
TD-116,11/8,09:00,TD,23,39.769654,-121.580470,TD,TD,heavy ember cast,O,,
TD-116,11/8,09:00,TD,23,39.770288,-121.586277,TD,TD,"two structures fully involved, fire front not here yet; ember ignition",R,,
TD-111,11/8,09:00,Radio Log,0,39.769875,-121.596369,TD,TD,spot fire,S,,
PPD-02,11/8,09:04,PPD-02,0,39.772396,-121.600205,Radio,Radio,fully involved structure [estimated position],R,,
TD-111,11/8,09:10,Inferred,0,39.770400,-121.601397,TD,TD,spot fires,S,,
TD-021,11/8,09:23,Inferred,0,39.770096,-121.579294,TD,TD,fire impacting Bille Rd,O,,
TD-038,11/8,09:23,Inferred,147,39.770217,-121.578590,TD,TD,homes igniting on east side Pentz Rd,R,,
TD-060,11/8,09:35,AVL,0,39.769717,-121.579117,AVL,TD,fire burning around intersection,O,,
TD-060,11/8,09:35,AVL,17,39.769252,-121.579192,AVL,TD,mobile homes beginning to ignite (Eden Roc Estates),R,,
TD-079,11/8,09:36,AVL,18,39.769867,-121.579350,AVL,TD,fire threatening structures,O,,
PPD-05,11/8,09:49,PPD-05,0,39.769679,-121.583588,Radio,Radio,"active flames, about 14 m (15 yd) from the roadway",V,,
TD-021,11/8,09:50,PPD video,0,39.769469,-121.583071,TD,TD,fire impacting Bille Rd and vehicles abandoned/stuck on road,O,,
TD-060,11/8,09:52,AVL,21,39.769467,-121.580750,AVL,TD,cars igniting on Bille Rd. Home catching fire.,R,,
TD-064,11/8,09:53,Inferred,9,39.772362,-121.608049,TD,TD,fire on east side of bike path around Berkshire Ave,R,,
TD-079,11/8,09:54,AVL,19,39.769519,-121.580796,AVL,TD,pickup on fire a few hundred yards down Bille Rd,O,,
TD-021,11/8,10:00,TD,30,39.769267,-121.579100,TD,TD,Eden Roc Estates mobile homes ignite and burn quickly,R,,
TD-127,11/8,10:12,Radio Log,0,39.773833,-121.603071,Radio Log,Radio Log,fire progressing toward Bille Rd and Skyway,O,,
TD-060,11/8,10:14,AVL,0,39.770350,-121.579432,AVL,TD,fire threatening structures,O,,
PPD-02,11/8,10:16,PPD-02,0,39.768937,-121.578861,Radio,Radio,"Eden Roc mobile home park is going up near Pentz Rd, it’s not safe here",R,,
TD-014,11/8,10:30,Inferred,30,39.773950,-121.606051,TD,TD,Lots of fire and structures burning. Fire pushing south on both sides of Skyway,R,,
PPD-02,11/8,10:31,PPD-02,0,39.770152,-121.600853,Radio,Radio,active house fire,R,,
VTD-18,11/8,10:42,TD,0,39.774950,-121.591186,video,video,vegetation fire in hedges behind Kmart,V,,
VTD-26,11/8,10:48,Inferred,0,39.771396,-121.598318,video,video,"spot fire, shed fully involved",S,,
VTD-26,11/8,10:48,Inferred,0,39.770545,-121.598027,video,video,spot fires in parking lot vegetation,S,,
VTD-26,11/8,10:48,Inferred,0,39.770194,-121.598241,video,video,spot fires in parking lot vegetation,S,,
VTD-18,11/8,10:50,TD,6,39.774477,-121.591098,video,video,structures burning behind Kmart,R,,
TD-055,11/8,11:00,TD,60,39.770362,-121.616972,TD,TD,vehicles burning,O,,
TD-021,11/8,11:00,TD,0,39.769425,-121.582995,TD,TD,Bille Rd is blocked by burning vehicles,O,,
TD-116,11/8,11:00,TD,0,39.773798,-121.607057,TD,TD,fire is to the north of Hillside,O,,
TD-022,11/8,11:00,Inferred,180,39.772204,-121.607837,TD,TD,fire threatening structures,O,,
TD-116,11/8,11:00,Inferred,180,39.772664,-121.606622,TD,TD,surface fire burning from the north,V,,
TD-116,11/8,11:00,Inferred,180,39.771587,-121.609279,TD,TD,surface fire burning through mobile home park; structures in Skyway Villa mobile home park starts burning structure to structure,R,,
TD-116,11/8,11:00,Inferred,180,39.772187,-121.607813,TD,TD,fire front igniting houses on Berkshire Ave,R,,
TD-116,11/8,11:00,Inferred,180,39.771677,-121.607502,TD,TD,"compost pile ignites, spreads to house",R,,
VTD-18,11/8,11:01,TD,0,39.774769,-121.591008,video,video,structure fully involved,R,,
VTD-18,11/8,11:01,TD,0,39.774814,-121.589873,video,video,"structure fully involved, past peak, roof collapsed",R,,
VTD-18,11/8,11:02,TD,0,39.774640,-121.589197,video,video,structure is burning,R,,
VTD-18,11/8,11:02,TD,0,39.774832,-121.588512,video,video,structure is fully involved,R,,
TD-030,11/8,11:10,AVL,0,39.770435,-121.612785,AVL,TD,Fire progressing over hill,O,,
TD-030,11/8,11:10,AVL,130,39.769578,-121.626656,AVL,TD,Fire burning north of Bille Rd,O,,
TD-030,11/8,11:10,AVL,130,39.770377,-121.616499,AVL,TD,Fire on both sides of Bille Rd,O,,
TD-015,11/8,11:16,AVL,6,39.770043,-121.579220,AVL,TD,fire all around. Eden Roc mobile home park had already burned,O,,
PPD-08,11/8,11:22,PPD-08,0,39.770543,-121.597851,video,video,spot fire,S,,
PPD-08,11/8,11:24,PPD-08,0,39.770537,-121.598265,video,video,numerous small spots in mulch or other ground cover,S,,
TD-127,11/8,11:30,Inferred,30,39.770367,-121.612346,TD,TD,fire is approaching,O,,
TD-127,11/8,11:30,Inferred,30,39.769914,-121.612077,TD,TD,bushes igniting around building,V,,
PPD-08,11/8,11:43,PPD-08,0,39.769994,-121.598432,video,video,vegetation spot fire on west side Clark Rd at KFC,S,,
TD-118,11/8,12:00,Inferred,175,39.769334,-121.582557,TD,TD,"vehicles burned (horse trailer, delivery truck, fifth wheel with truck)",O,,
TD-118,11/8,12:00,Inferred,175,39.770471,-121.589817,TD,TD,burning vehicles; can hear another fire push coming,O,,
PPD-08,11/8,12:05,PPD-08,0,39.770740,-121.598374,video,video,small spot fire,S,,
PPD-08,11/8,12:05,PPD-08,0,39.770353,-121.598169,video,video,small spot fire,S,,
PPD-08,11/8,12:05,PPD-08,0,39.769997,-121.598438,video,video,bushes burning at KFC,S,,
PPD-08,11/8,12:07,PPD-08,0,39.768665,-121.597308,video,video,spot fire,S,,
TD-101,11/8,12:22,Photo,0,39.769947,-121.600011,Photo,Photo,detached garage and other objects burning on parcel,O,,
TD-101,11/8,12:22,Photo,0,39.770146,-121.600553,Photo,Photo,structure fully involved,R,,
TD-101,11/8,12:22,Photo,0,39.769552,-121.601258,Photo,Photo,fire,O,,
TD-101,11/8,12:23,video,0,39.770397,-121.599512,TD,video,multiple structures fully involved near Clark Rd,R,,
PPD-08,11/8,12:26,PPD-08,0,39.769760,-121.599110,video,video,vegetation on fire ,V,,
TD-011,11/8,13:15,TD,0,39.770381,-121.609678,TD,TD,structures fully involved (Bille Rd at Berkshire Ave),R,,
TD-011,11/8,13:15,TD,0,39.772207,-121.607835,TD,TD,downed tree/utility pole on fire blocking roadway,O,,
TD-030,11/8,13:21,AVL,147,39.771439,-121.611925,AVL,TD,fire threatening structures,O,,
TD-030,11/8,13:21,Inferred,147,39.769908,-121.611789,TD,TD,fire threatening structures,O,,
VTD-18,11/8,13:23,TD,0,39.774450,-121.591091,video,video,multiple structures burned to foundation,R,x,
VTD-18,11/8,13:23,TD,0,39.774694,-121.591381,video,video,structure fire; north half house fully involved,R,,
VTD-18,11/8,13:23,TD,0,39.774275,-121.590787,video,video,structure past peak fully involved,R,,
VTD-18,11/8,13:24,TD,0,39.774497,-121.589959,video,video,structures burned to foundations,R,x,
VTD-18,11/8,13:40,TD,0,39.774694,-121.591381,video,video,house fully involved,R,,
VTD-18,11/8,13:40,TD,0,39.773954,-121.590229,video,video,structure burning,R,,
VTD-18,11/8,13:41,TD,0,39.774138,-121.591190,video,video,small spot fires in garden vegetation,S,,
TD-055,11/8,13:41,Photo,0,39.771784,-121.612587,Photo,Photo,multiple structures fully involved,R,,
TD-055,11/8,13:43,Photo,0,39.770175,-121.611861,Photo,Photo,structures burning,R,,
TD-069,11/8,13:47,Inferred,53,39.769375,-121.582833,TD,TD,cars actively burning blocking Bille Rd,O,,
TD-116,11/8,13:51,Photo,0,39.772500,-121.606995,TD,TD,north side of Hillside Dr is all involved in fire,O,,
VTD-18,11/8,13:52,TD,0,39.773965,-121.591377,video,video,structure fire; 3 m (10 ft) flames coming from the roof,R,,
VTD-18,11/8,13:52,TD,0,39.774330,-121.591394,video,video,structure recently ignited; heavy smoke coming from rear of house,R,,
TD-022,11/8,14:00,Inferred,30,39.770427,-121.603032,TD,TD,vegetation spot fire,S,,
TD-065,11/8,14:25,Inferred,31,39.771218,-121.611917,TD,TD,Skyway north of Bille Rd is on fire and impassable ,R,,
VTD-18,11/8,14:31,TD,0,39.774522,-121.592507,video,video,structure fire; heavy smoke coming from second story; heavy fire in less than 8 min,R,,
TD-069,11/8,14:44,Inferred,0,39.770044,-121.584035,TD,TD,"cars burning on Bille Rd, but passable",O,,
VTD-18,11/8,14:45,TD,0,39.773468,-121.591889,video,video,structure fully involved,R,,
PPD-15,11/8,14:51,PPD-15,0,39.771457,-121.611786,video,video,fire both sides of Skyway; structures have burned down,C,x,
PPD-15,11/8,14:52,PPD-15,0,39.770872,-121.613580,video,video,structure fully involved,R,,
PPD-15,11/8,14:52,PPD-15,0,39.770555,-121.613774,video,video,structure and parcel fully involved,R,,
PPD-15,11/8,14:52,PPD-15,0,39.770361,-121.616718,video,video,Bille Rd is blocked by burning vehicle,O,,
TD-066,11/8,14:53,PPD video,0,39.770343,-121.617319,PPD video,TD,burning vehicle blocking Bille Rd at Lucky John Rd,O,,
PPD-15,11/8,14:53,PPD-15,0,39.770597,-121.615228,video,video,structure fully involved,R,,
PPD-15,11/8,14:53,PPD-15,0,39.770873,-121.615253,video,video,structure fully involved,R,,
PPD-15,11/8,14:53,PPD-15,0,39.770129,-121.615897,video,video,structure fully involved,R,,
TD-059,11/8,16:30,video,6,39.770271,-121.612336,TD,TD,huge fire to east of Walgreens,O,,
VTD-18,11/8,16:35,TD,0,39.771103,-121.596582,video,video,structure burned to foundation,C,x,
VTD-18,11/8,16:36,TD,0,39.770643,-121.597097,video,video,structure past-peak fully involved,C,,
VTD-18,11/8,16:36,TD,0,39.770225,-121.597559,video,video,structure burned to foundation,C,x,
VTD-18,11/8,16:36,TD,0,39.769903,-121.597894,video,video,"structure unburned, small vegetation spot fires against building",S,,
TD-014,11/8,16:47,AVL,6,39.769445,-121.635538,AVL,TD,"Fire well established in canyon, 90 m (300 ft) flame lengths",V,,
TD-014,11/8,16:47,AVL,6,39.767688,-121.630753,TD,TD,structures burning,R,,
TD-127,11/8,17:14,Photo,0,39.770370,-121.616153,Photo,Photo,"most structures around are fully involved, some burned down, two standing; light breeze blowing embers",R,,
TD-127,11/8,17:26,Radio Log,0,39.770442,-121.612302,Radio Log,Radio Log,commercial structures all along Skyway are threatened,O,,
TD-044,11/8,17:30,TD,30,39.768639,-121.634940,TD,TD,"everything on fire, trees crowning",R,,
TD-111,11/8,18:00,TD,60,39.768675,-121.631355,TD,TD,"ember blizzard, wind blow torching flames",O,,
TD-111,11/8,18:00,TD,60,39.768736,-121.636156,TD,TD,Cliff Dr homes are all burned down,R,x,
TD-109,11/8,18:26,AVL,1,39.769673,-121.583495,AVL,TD,cars still burning on Bille Rd,O,,
TD-205,11/8,18:58,AVL,17,39.770053,-121.614600,AVL,TD,Fire in eaves of structure,R,,
TD-015,11/8,22:40,AVL,24,39.769117,-121.627217,AVL,TD,area already burned,O,x,
TD-008,11/8,23:27,AVL,0,39.770467,-121.590317,AVL,Radio Log,fire threatening structures,O,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
