Source #,Date,Time,Time Source,Obs Window (min),Latitude,Longitude,Location Source,Info Source,Fire Behavior Observations,Type of Fire,Residual Fire?,SSI
911-223-1,11/8,09:11,911-223-1,0,39.735791,-121.687568,Inferred,911-223-1,fire about a mile beyond covered bridge,S,,
TD-014,11/8,10:55,Radio Log,0,39.724188,-121.692273,"Radio Log, Imagery",Radio Log,vehicle fire with threat to vegetation,O,,
TD-026,11/8,12:45,Inferred,15,39.724188,-121.692273,TD,TD,"pickup truck, SB in NB lanes has already burned; had previously caught fire and was abandoned",O,x,
Radio Log,11/8,13:02,Radio Log,0,39.729033,-121.704007,Radio Log,Radio Log,"spot fires on both sides of Honey Run, Centerville and Honey Run",S,,
TD-117,11/8,14:00,TD,0,39.742833,-121.673188,TD,TD,"fire in backyard of two homes, moderate rate of spread, flames 1.8 m to 3 m (6 ft to 10 ft) flames",V,,
TD-117,11/8,14:00,Inferred,120,39.744503,-121.680751,TD,TD,fire on ridge in Honey Run canyon; est. 30 m to 60 m (100 ft to 200 ft) flames,V,,
TD-117,11/8,14:00,Inferred,120,39.739515,-121.678863,TD,TD,ember showers,O,,
TD-117,11/8,14:00,Inferred,120,39.741952,-121.678063,TD,TD,fire threatening structure,O,,
TD-007,11/8,15:40,TD-012,80,39.777748,-121.690993,TD,TD,spot fires in the Doe Creek area,S,,
TD-117,11/8,16:00,Inferred,300,39.736583,-121.684689,TD,TD,fire spotting on homes down canyon; fire fronts are joining,O,,
TD-117,11/8,16:00,Inferred,300,39.748322,-121.686532,TD,TD,fire moving quickly on Centerville Rd,O,,
TD-117,11/8,16:00,Inferred,300,39.732949,-121.693106,TD,TD,"fire coming down, merging from ridgelines pinching Honey Run Rd; homes burning both sides of road",R,,
TD-117,11/8,16:00,Inferred,300,39.717714,-121.719930,TD,TD,chicken coop on fire; propane explosion,O,,
TD-117,11/8,16:00,Inferred,300,39.717714,-121.719930,TD,TD,"quick moving fire fronts, merging again from the ridgelines",O,,
TD-117,11/8,16:00,Inferred,300,39.717714,-121.719930,TD,TD,fire both sides of the road,O,,
TD-114,11/8,16:00,Inferred,0,39.714896,-121.709757,TD,TD,fire near Tuscan Ridge,V,,
TD-076,11/8,16:34,Photo,0,39.762416,-121.679481,Photo,Photo,4 ha to 8 ha (10 ac to 20 ac) spot fire in Butte Creek Canyon,S,,
TD-012,11/8,18:12,Radio Log,0,39.774467,-121.685367,AVL,TD,"fire licking up canyon wall, 30 m to 60 m (100 ft to 200 ft) flames; fire sheeting through brush 15 m to 18 m (50 ft to 60 ft) flames laying down into thick brush",V,,
TD-201,11/8,20:17,AVL,0,39.693348,-121.758855,TD,TD,fire is approaching Hwy 99 near Skyway [line between Spanish Garden Dr and Estates Dr],V,,
TD-009,11/8,21:00,Radio Log,0,39.778893,-121.682500,Radio Log,Radio Log,fire has moved to top of Doe Mill Ridge; hard push through Buzztail/Wilder Rd,O,,
TD-201,11/8,21:04,AVL,146,39.693348,-121.758855,AVL,TD,edge of fire line,V,,
TD-117,11/8,21:07,Radio Log,0,39.717714,-121.719930,Radio Log,Radio Log,Honey run to Centerville has all been impacted many structures lost,R,,
TD-009,11/8,21:08,Radio Log,0,39.714953,-121.724329,Radio Log,Radio Log,fire overcomes any containment or defense in Honey Run Canyon,O,,
TD-091,11/8,21:28,AVL,226,39.693891,-121.757183,AVL,TD,perimeter of fire,V,,
TD-201,11/8,21:40,Radio Log,0,39.687153,-121.762226,Radio Log,TD,edge of fire line,V,,
TD-117,11/8,22:00,Inferred,300,39.722532,-121.753911,TD,TD,fire front coming down the hill toward the west,O,,
TD-009,11/8,22:02,Radio Log,0,39.747231,-121.752331,Radio Log,Radio Log,"fire has moved up out of Stilson Canyon, coming up over Old Humboldt Rd approaching Hwy 32 at the lower end by the powerlines",V,,
TD-012,11/8,22:02,Radio Log,0,39.746706,-121.754674,Radio Log,TD,"fire moved up out of Stilson Canyon, spotting over Humboldt Rd",V,,
TD-009,11/8,22:06,Radio Log,0,39.740790,-121.766486,Inferred,Radio Log,fire is pushing down to lower Humboldt Rd near Hwy 32 in Yosemite Dr area,V,,
TD-012,11/8,22:34,AVL,90,39.747309,-121.752984,AVL,TD,fire slops over Humboldt Rd into tall grass,V,,
TD-009,11/8,23:22,AVL,192,39.749204,-121.746987,AVL,TD,lower fire activity,V,,
TD-201,11/8,23:32,AVL,10,39.703904,-121.756177,Inferred,TD,subdivision is catching fire,R,,
TD-201,11/9,00:00,AVL,13,39.706787,-121.739586,AVL,TD,subdivision is catching fire,R,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
