Source #,Date,Time,Time Source,Obs Window (min),Latitude,Longitude,Location Source,Info Source,Fire Behavior Observations,Type of Fire,Residual Fire?,SSI
TD-035,11/8,07:45,Inferred,0,39.735414,-121.610263,TD,TD,hot embers falling,O,,
TD-074,11/8,08:00,TD,0,39.759491,-121.606635,TD,TD,embers as large as a matchbox landing,O,,
TD-015,11/8,08:15,TD,0,39.784464,-121.587998,TD,TD,spot fire,S,,
TD-065,11/8,08:15,Inferred,0,39.759502,-121.606653,TD,TD,ember showers,O,,
TD-100,11/8,08:30,TD,0,39.735180,-121.604409,TD,TD,"spot fire too big to engage, est. about 12 ha (30 ac); established in drainage",S,,
VTD-09,11/8,08:30,TD,0,39.784384,-121.589144,video,video,spot fire in Apple Tree Village mobile home park,S,,
VTD-09,11/8,08:30,TD,0,39.783043,-121.588983,video,video,spot fire in Apple Tree Village mobile home park,S,,
VTD-09,11/8,08:30,TD,0,39.784803,-121.590610,video,video,spot fire in Apple Tree Village mobile home park,S,,
911-142-1,11/8,08:31,911-142-1,0,39.796563,-121.585649,911-142-1,911-142-1,spot fire,S,,
911-142-2,11/8,08:31,911-142-2,0,39.796563,-121.585649,911-142-2,911-142-2,spot fire,S,,
TD-058,11/8,08:35,Inferred,26,39.793050,-121.584948,TD,TD,trees on fire,V,,
911-152-1,11/8,08:35,911-152-1,0,39.796563,-121.585649,911-152-1,911-152-1,spot fire,S,,
911-153-1,11/8,08:35,911-153-1,0,39.796563,-121.585649,911-153-1,911-153-1,spot fire,S,,
911-155-1,11/8,08:36,911-155-1,0,39.796563,-121.585649,911-155-1,911-155-1,fire,S,,
911-157-1,11/8,08:37,911-157-1,0,39.776591,-121.588145,911-157-1,911-157-1,field behind Kmart on fire,S,,
TD-067,11/8,08:38,911-158-1,0,39.779476,-121.587807,TD,"TD, 911-158-1",spot fire,S,,
911-158-1,11/8,08:38,911-158-1,0,39.779450,-121.587721,911-158-1,911-158-1,"spot fire in grass, just started, small but still burning",S,,
911-161-2,11/8,08:39,911-161-2,0,39.784800,-121.587090,911-161-2,911-161-2,fire is right next door,O,,
TD-075,11/8,08:40,Inferred,6,39.777730,-121.590638,TD,TD,noticed embers flying through air,O,,
TD-067,11/8,08:40,Inferred,6,39.779476,-121.587807,TD,TD,smaller spot fire in grass behind church,S,,
