Source #,Date,Time,Time Source,Obs Window (min),Latitude,Longitude,Location Source,Info Source,Fire Behavior Observations,Type of Fire,Residual Fire?,SSI
911-001-1,11/8,06:25,911-001-1,0,39.814610,-121.434004,Origin,911-001-1,"fire under transmission lines within 6 m (20 ft) of tower, estimated size 30 m × 30 m (100 ft × 100 ft).",V,,
911-002-1,11/8,06:31,911-002-1,0,39.814610,-121.434004,Origin,911-002-1,"wildfire in the Feather River Canyon area, Hwy 70 above Poe Dam",V,,
911-004-1,11/8,06:39,911-004-1,0,39.814610,-121.434004,Origin,911-004-1,spot fire started on Hwy 70 near Pulga Caltrans yard,V,,
TD-028,11/8,06:44,Radio Log,0,39.814610,-121.434004,Origin,TD,initial report of conditions,V,,
VTD-28,11/8,06:45,Photo,0,39.807822,-121.482963,Photo,Photo,second power line ignition determined near intersection of Rim Rd and Concow Rd,V,,
TD-029,11/8,06:46,AVL,976,39.803302,-121.449305,AVL,TD,fire threatening structures,V,,
TD-028,11/8,06:47,Photo,0,39.814328,-121.434041,Photo,Photo,Initial view of fire,V,,
TD-005,11/8,06:47,Photo,0,39.812603,-121.434844,Photo,Photo,"first view of fire; well established spot fire, 30 m (100 ft) smoke plume",V,,
TD-028,11/8,06:58,AVL,14,39.806103,-121.451330,Inferred,TD,fire already in and above Pulga,V,,
911-006-1,11/8,07:03,911-006-1,0,39.807822,-121.482963,VTD-28,911-006-1,fire up slope from Concow Rd,V,,
911-009-1,11/8,07:05,911-009-1,0,39.807822,-121.482963,VTD-28,911-009-1,"""can see fire on the mountain from my house, looking north""",V,,
TD-028,11/8,07:10,Radio Log,0,39.807060,-121.456750,Inferred,TD,"80 ha to 120 ha (200 ac to 300 ac), rapid rate of spread",V,,
TD-028,11/8,07:15,TD,0,39.807060,-121.456750,TD,TD,"fire really got established in Flea Canyon, no vegetation left, sent embers",V,,
TD-028,11/8,07:15,Photo,0,39.808530,-121.447729,Photo,Photo,can see flames up canyon from bridge,V,,
TD-028,11/8,07:15,Photo,0,39.808012,-121.453297,Photo,Photo,fire has spread SW from origin into the canyon above Pulga,V,,
TD-028,11/8,07:16,Photo,0,39.805433,-121.451328,Photo,Photo,fire has spread SW from origin into the canyon above Pulga,V,,
TD-028,11/8,07:16,Photo,0,39.806295,-121.446234,Photo,Photo,glow of fire expanding along ridgeline; fire backing down hillside toward river and Pulga,V,,
TD-028,11/8,07:16,Photo,0,39.806295,-121.446234,Photo,Photo,fire along ridgeline and backing down hillside toward river and Pulga,V,,
TD-005,11/8,07:16,Photo,0,39.808024,-121.458911,Photo,Photo,massive billowing smoke cloud rising from Flea Valley area,V,,
TD-005,11/8,07:20,AVL,0,39.794959,-121.473990,TD,TD,spot fires to west of Rim Rd,S,,
TD-028,11/8,07:23,Photo,0,39.807797,-121.440873,Photo,Photo,"active vegetation fire, wind pushing fire up slope W, WSW; fire extending up slope and well beyond ridge to W",V,,
TD-013,11/8,07:24,TD,0,39.766468,-121.537037,TD,TD,multiple (5) small spot fires 3 m × 3 m (10 ft × 10 ft) visible on east facing slopes,S,,
TD-005,11/8,07:24,Photo,0,39.794663,-121.473829,Photo,Photo,"large, well established spot fire, 0.1 ha to 0.2 ha (0.25 ac to 0.5 ac)",S,,
TD-005,11/8,07:24,Photo,0,39.793910,-121.473667,Photo,Photo,spot fire,S,,
TD-062,11/8,07:25,AVL,7,39.788116,-121.495713,TD,TD,see spots below down in Concow; homes start to catch fire,R,,
TD-143,11/8,07:29,Photo,0,39.813105,-121.534893,Photo,Photo,flames visible on ridge top,V,,
TD-143,11/8,07:29,Photo,0,39.813105,-121.534893,Photo,Photo,flames visible on ridge top,V,,
TD-013,11/8,07:30,Inferred,10,39.777564,-121.508483,TD,TD,observe 6 m × 6 m (20 ft × 20 ft) spot fire at house. fire pulling upwind toward house,S,,
TD-110,11/8,07:30,Inferred,15,39.761408,-121.532027,TD,TD, 0.1 ha (0.25 ac) spot fires in Concow creek just before lake,S,,
911-037-1,11/8,07:30,911-037-1,0,39.789147,-121.516244,911-037-1,911-037-1,fire in the yard,S,,
TD-005,11/8,07:32,video,0,39.793738,-121.470504,video,video,Spot fire [240 m (800 ft)] from road to the east/northeast,S,,
TD-005,11/8,07:32,video,0,39.793824,-121.474035,video,video,spot fire on west side of Rim Rd,S,,
TD-005,11/8,07:32,Photo,0,39.794180,-121.473630,Photo,Photo,"spot fires have grown to several ac, spreading up slope, consuming draw",V,,
TD-005,11/8,07:32,Photo,0,39.794612,-121.470229,Photo,Photo,"significant flames, pines torching on ridgetop",V,,
911-040-1,11/8,07:33,911-040-1,0,39.787712,-121.529838,911-040-1,911-040-1,fire in the yard,S,,
911-042-2,11/8,07:34,911-042-2,0,39.793533,-121.510031,911-042-2,911-042-2,"fire, I think it's blocking the road",S,,
TD-005,11/8,07:35,AVL,0,39.784595,-121.507358,TD,TD,spot fire 3 ha (10 ac) and growing,S,,
911-046-1,11/8,07:36,911-046-1,0,39.792422,-121.510804,911-046-1,911-046-1,fire actively coming onto property,S,,
TD-103,11/8,07:38,AVL,0,39.760993,-121.538608,TD,TD,spot fires on west side of Concow Rd,S,,
