Source #,Date,Time,Time Source,Obs Window (min),Latitude,Longitude,Location Source,Info Source,Fire Behavior Observations,Type of Fire,Residual Fire?,SSI
911-1030-10,11/8,07:57,911-1030-10,0,39.756975,-121.601220,911-1030-10,911-1030-10,spot fire,S,,
TD-074,11/8,08:00,TD,0,39.759491,-121.606635,TD,TD,embers as large as a matchbox landing,O,,
TD-069,11/8,08:00,TD,15,39.762326,-121.588917,TD,TD,structure burning on east side Sawmill Rd,R,,
TD-035,11/8,08:02,PPD video,0,39.755929,-121.604485,TD,TD,spot fire 1100 block Nunneley Rd,S,,
TD-067,11/8,08:02,PPD video,0,39.756710,-121.600997,TD,"TD, PPD video",spot fire,S,,
PPD-01,11/8,08:02,PPD-01,1,39.756866,-121.601153,Radio,Radio,spot fire on Nunneley Rd near Jubilee Ln,S,,
911-1041-1,11/8,08:03,911-1041-1,0,39.757744,-121.598390,Inferred,911-1041-1,spot fire,S,,
TD-067,11/8,08:10,TD,0,39.756710,-121.600997,TD,TD,"spot fire, large tree burning, flames >1.8 m (6 ft); pine needles built up around vacant house",S,,
911-1051-1,11/8,08:14,911-1051-1,0,39.757744,-121.598390,Inferred,911-1051-1,spot fire off Ingalls between Elliott Rd and Nunneley Rd,S,,
TD-065,11/8,08:15,Inferred,0,39.759502,-121.606653,TD,TD,ember showers,O,,
911-127-1,11/8,08:23,911-127-1,0,39.756904,-121.579291,911-127-1,911-127-1,flames at the end of the road,S,,
911-148-1,11/8,08:33,911-148-1,0,39.756937,-121.585673,911-148-1,911-148-1,fire,S,,
911-156-1,11/8,08:37,911-156-1,0,39.761662,-121.585077,911-156-1,911-156-1,spot fire,S,,
TD-013,11/8,08:40,TD,0,39.762184,-121.588998,TD,TD,"fire burning on Sawmill Rd; civilian report of ""trees on fire""",V,,
TD-015,11/8,08:44,AVL,0,39.760739,-121.586951,AVL,TD, 0.2 ha to 0.4 ha (0.5 ac to 1.0 ac) spot fire in grass field behind houses,S,,
911-186-1,11/8,08:49,911-186-1,0,39.759977,-121.581872,911-186-1,911-186-1,fire,S,,
PPD-04,11/8,08:55,PPD-04,0,39.755913,-121.589026,Radio,Radio,spot fire,S,,
911-195-1,11/8,08:56,911-195-1,0,39.755966,-121.588986,911-195-1,911-195-1,spot fire,S,,
911-230-2,11/8,09:16,911-230-2,0,39.755942,-121.599648,911-230-2,911-230-2,fire in the yard,S,,
911-230-4,11/8,09:16,911-230-4,0,39.761000,-121.588637,911-230-4,911-230-4,residential fire alarm,R,,
TD-070,11/8,10:08,PPD video,0,39.756933,-121.589059,TD,TD,Sawmill Rd impassable north of Nunneley Rd; fire crossing roadway,O,,
TD-070,11/8,10:08,PPD video,0,39.757517,-121.588760,TD,TD,structures on east side Sawmill Rd burning,R,,
PPD-05,11/8,10:08,PPD-05,0,39.755929,-121.589011,Radio,Radio,active fire Sawmill Rd and Nunneley Rd on the NE corner,O,,
PPD-02,11/8,10:22,PPD-02,0,39.757446,-121.606495,Radio,Radio,north of Nunneley Rd east of Clark Rd is catching on fire,O,,
TD-112,11/8,10:25,Inferred,54,39.757000,-121.594773,TD,TD,spot fire,S,,
TD-112,11/8,10:25,Inferred,54,39.755915,-121.593703,TD,TD,encounter spot fire at Middle Libby Rd and Nunneley Rd,S,,
TD-123,11/8,10:44,AVL,0,39.757417,-121.589000,AVL,TD,fire on Sawmill Rd at Sir Ct,O,,
TD-068,11/8,10:50,PPD video,0,39.761569,-121.603057,TD,TD,fire behind (east) of Safeway,O,,
PPD-02,11/8,10:50,PPD-02,0,39.760515,-121.603216,Radio,Radio,fire is right behind Safeway,O,,
VTD-26,11/8,10:55,Inferred,0,39.762665,-121.605019,video,video,spot fire,S,,
TD-035,11/8,11:00,Inferred,30,39.759231,-121.606861,TD,TD,blanket caught in powerlines; burning; blanket fell and ignited bushes at Arco gas station,O,,
TD-035,11/8,11:00,Inferred,30,39.759231,-121.606861,TD,TD,"bushes burning, fire approaches from west behind Arco gas station",S,,
TD-037,11/8,11:09,Inferred,21,39.761416,-121.603138,TD,TD,fire is right behind Safeway,O,,
TD-070,11/8,11:16,Inferred,24,39.759330,-121.606715,TD,TD,fire is on both sides of Clark Rd; ampm gas station on fire,C,,
TD-112,11/8,11:19,Inferred,8,39.754256,-121.595247,TD,TD,house caught fire; back deck and wall involved,R,,
TD-112,11/8,11:19,Photo,0,39.754511,-121.595106,Photo,Photo,structure fully involved,R,,
PPD-08,11/8,11:21,PPD-08,0,39.761717,-121.604836,video,video,spot fire on east side of Clark Rd,S,,
TD-112,11/8,11:27,Inferred,26,39.754423,-121.595763,TD,TD,fire is blowing out eaves of structure,R,,
TD-112,11/8,11:27,Photo,0,39.756039,-121.592573,Photo,Photo,"significant vegetation fire, possible structure burning",O,,
TD-037,11/8,11:30,TD,40,39.755005,-121.605692,TD,TD,glow of fire east of Clark Rd near Nunneley Rd,O,,
TD-034,11/8,11:36,Photo,0,39.759236,-121.606715,Photo,TD,vegetation on fire at Arco gas station,S,,
TD-034,11/8,11:36,Photo,0,39.759105,-121.606886,Photo,Photo,shrubs on fire at Arco gas station,V,,
TD-034,11/8,11:36,Photo,0,39.759105,-121.606886,Photo,Photo,shrubs on fire at Arco gas station,V,,
TD-034,11/8,11:36,Photo,0,39.758695,-121.607074,Photo,Photo,"surface vegetation (grass), ladder fuels have burned, light flaming",V,x,
TD-034,11/8,11:36,Photo,0,39.756540,-121.607102,Photo,Photo,"spot fire, vegetation",S,,
TD-034,11/8,11:37,Photo,0,39.756540,-121.607102,Photo,Photo,"spot fire, vegetation",S,,
PPD-08,11/8,11:42,PPD-08,0,39.759119,-121.606887,video,video,bushes on fire at am/pm gas station,S,,
PPD-08,11/8,11:42,PPD-08,0,39.761647,-121.605168,video,video,light surface fire activity between here and 6166 Clark Rd,V,,
TD-112,11/8,11:53,Photo,0,39.754503,-121.595463,Photo,Photo,"surface vegetation, pine trees, intense fire",V,,
TD-112,11/8,11:53,Photo,0,39.754350,-121.595508,Photo,Photo,"surface vegetation, pine trees, intense fire",V,,
PPD-08,11/8,11:54,PPD-08,0,39.755908,-121.607380,Radio,Radio,"multiple structures on fire, on Clark Rd and Nunneley Rd and east of there",R,,
TD-076,11/8,12:15,Inferred,55,39.759509,-121.623908,TD,TD,see flames coming,O,,
PPD-08,11/8,12:27,PPD-08,0,39.762878,-121.604324,video,video,"majority of structures fully involved, past peak surface fire still burning between Central Park and Elliott Rd",C,,
PPD-08,11/8,12:28,PPD-08,0,39.757804,-121.606980,video,video,"limited structures burning close to roadway (fewer structures here, mostly parking lots along road), moderate surface fires between Elliott Rd and Nunneley Rd on Clark Rd",C,,
PPD-08,11/8,12:28,PPD-08,0,39.754219,-121.607751,video,video,minimal fire visible between Nunneley Rd and Pearson Rd,O,x,
TD-026,11/8,12:45,Inferred,61,39.755650,-121.624132,TD,TD,structures burning south and east of Skyway in area of Almond St and Fir St ,R,,
TD-112,11/8,12:53,Photo,0,39.754517,-121.595978,Photo,Photo,structure well involved,R,,
TD-021,11/8,13:10,Inferred,0,39.753690,-121.607734,TD,TD,heavy fire,O,,
TD-210,11/8,13:12,AVL,0,39.759517,-121.604150,AVL,TD,structures in area had burned,R,x,
TD-021,11/8,13:15,TD,0,39.755817,-121.617097,TD,TD,active structure fires,R,,
TD-130,11/8,13:17,AVL,2,39.755365,-121.607103,AVL,TD,commercial building on fire,C,,
TD-125,11/8,14:03,Inferred,0,39.760532,-121.604579,TD,TD,Safeway burning,C,,
TD-108,11/8,14:21,Inferred,69,39.759481,-121.615921,TD,TD,everything is on fire,R,,
TD-141,11/8,14:21,Photo,0,39.753623,-121.608063,Photo,Photo,structure fully involved,C,,
TD-141,11/8,14:30,Photo,0,39.756988,-121.606624,TD,Photo,structure fully involved,C,,
TD-141,11/8,14:30,Photo,0,39.756993,-121.606623,Photo,Photo,"structure past peak, partially collapsed",C,,
TD-141,11/8,14:33,Photo,0,39.760511,-121.604494,TD,Photo,Safeway is burned down,C,,
TD-141,11/8,14:33,Photo,0,39.760606,-121.604488,Photo,Photo,"structure past peak, partially collapsed, burning rubble; spot fires in parking lot vegetation",C,x,
TD-141,11/8,14:33,Photo,0,39.760953,-121.604166,Photo,Photo,"structure past peak, partially collapsed, burning rubble",C,x,
TD-141,11/8,14:34,Photo,0,39.762417,-121.604150,Photo,Photo,"apartment building structures, fully involved, partially collapsed",R,,
TD-133,11/8,14:41,Photo,0,39.757584,-121.611538,Photo,Photo,"structures burning, past peak",R,x,
TD-141,11/8,14:43,Photo,0,39.753631,-121.608082,TD,Photo,black bear diner is fully involved,C,,
TD-141,11/8,14:43,Photo,0,39.753624,-121.608081,Photo,Photo,"Black Bear Diner fully involved, past peak",C,,
TD-066,11/8,14:45,PPD video,3,39.761934,-121.617456,TD,TD,fire approaching Holiday Market from the bike path,V,,
TD-069,11/8,14:49,Inferred,10,39.760491,-121.604624,TD,TD,Safeway is burned down,C,x,
TD-069,11/8,14:49,Inferred,10,39.762499,-121.604050,TD,TD,apartments north of Safeway are fully involved,R,,
TD-055,11/8,14:52,Photo,0,39.753628,-121.608071,Photo,Photo,"Black Bear Diner burning, fully involved",C,,
TD-133,11/8,14:52,Photo,0,39.756522,-121.612151,Photo,Photo,gazebo structure igniting,O,,
TD-133,11/8,14:53,Photo,0,39.756563,-121.612187,Photo,Photo,gazebo structure fully involved,O,,
TD-133,11/8,14:54,Photo,0,39.755684,-121.614857,Photo,Photo,"heavy fire activity on parcel; structure fully involved, past peak; multiple vehicles other materials in yard, pine trees burning",R,,
PPD-15,11/8,14:57,PPD-15,0,39.759468,-121.617745,video,video,vegetation and structure fires east of James Dr on Elliott Rd,R,,
PPD-15,11/8,14:57,PPD-15,0,39.759522,-121.600884,Radio,Radio,apartment buildings are a complete loss,R,,
PPD-15,11/8,14:58,PPD-15,0,39.759507,-121.612456,video,video,Elliott Rd at cemetery; vegetation has burned through,V,x,
PPD-15,11/8,14:58,PPD-15,1,39.759752,-121.612093,video,video,structures completely burned down,R,,
TD-074,11/8,14:59,PPD video,0,39.759854,-121.612410,PPD video,TD,"fire, trees, powerlines on Elliott Rd blocking access to Maxwell",O,,
TD-069,11/8,14:59,Inferred,9,39.756274,-121.608330,TD,TD,commercial structure burning,C,,
TD-069,11/8,14:59,Inferred,9,39.756825,-121.608287,TD,TD,mulch fire up against structure,S,,
TD-066,11/8,15:01,PPD video,1,39.759464,-121.617161,PPD video,TD,intense fire on Elliott Rd at James Dr and Camino Ln,R,,
PPD-15,11/8,15:02,PPD-15,0,39.755688,-121.624108,video,video,most structures fully involved on Almond St and Fir St east of Almond St (5800 Almond St to Cedar St and Fir St east toward Black Olive Dr),R,,
TD-074,11/8,15:03,PPD video,0,39.759934,-121.611901,PPD video,TD,all structures on east side of Maxwell Dr on fire,R,,
TD-132,11/8,15:04,Photo,0,39.755740,-121.623420,Photo,Photo,significant widespread flames and glow; numerous structures burning,R,,
TD-015,11/8,15:14,AVL,0,39.761600,-121.612471,AVL,TD,Paradise HS; fire threatening school,V,,
TD-132,11/8,15:27,Inferred,333,39.762794,-121.613079,TD,TD,Paradise HS: mobile classrooms are burning,C,,
TD-132,11/8,15:27,Inferred,333,39.762356,-121.613341,TD,TD,fire spreading crown to crown and along surface fuels,V,,
TD-132,11/8,15:27,Inferred,333,39.762288,-121.612969,TD,TD,Paradise HS: roof fire on auto shop,C,,
TD-132,11/8,15:27,Inferred,333,39.761014,-121.613212,TD,TD,Paradise HS: put out fire on roof of main building,C,,
TD-141,11/8,15:27,Inferred,303,39.762787,-121.613067,TD,TD,Paradise HS: all but one portable classroom is burning,C,,
TD-141,11/8,15:27,Inferred,303,39.762342,-121.612973,TD,TD,Paradise HS: fire on the roof,C,,
TD-135,11/8,15:30,Inferred,930,39.757657,-121.624599,TD,TD,"Starbucks; fire 15 m to 18 m (50 ft to 60 ft) away from structure, spotting into mulch",C,,
TD-135,11/8,15:30,Inferred,930,39.756602,-121.625067,TD,TD,"structures burning, flames coming from house vents; exposure to other buildings",R,,
TD-135,11/8,15:30,Inferred,930,39.757657,-121.624599,TD,TD,shed and fence on fire near Starbucks,O,,
TD-209,11/8,15:37,Photo,0,39.753610,-121.608070,Photo,Photo,"Black Bear Diner collapsed, flaming rubble",C,x,
TD-124,11/8,15:39,AVL,67,39.759717,-121.607450,AVL,TD,roof of Rite Aid on fire,C,,
TD-132,11/8,15:51,Photo,0,39.762335,-121.612969,TD,TD,Paradise HS: air vent on roof is on fire,C,,
TD-133,11/8,15:51,Photo,0,39.762512,-121.611997,Photo,Photo,"structure burned to foundation, flaming rubble",R,x,
TD-133,11/8,15:51,Photo,0,39.762723,-121.612058,Photo,Photo,multiple structures burned to foundation; east side Maxwell Dr,R,x,
TD-014,11/8,15:52,AVL,0,39.758205,-121.624762,AVL,TD,"fire everywhere, downtown beginning to burn",C,,
TD-122,11/8,15:53,AVL,53,39.759783,-121.606883,AVL,TD,fire on roof of Rite Aid,C,,
TD-142,11/8,16:00,TD,0,39.758900,-121.624674,TD,TD,tree is burning,V,,
TD-141,11/8,16:02,Photo,0,39.762976,-121.613469,Photo,Photo,wooded areas are burning around field; structures are burned to ground,R,,
TD-141,11/8,16:03,Photo,0,39.762275,-121.613743,Photo,Photo,spot fires in pine litter,S,,
TD-141,11/8,16:04,Photo,0,39.762758,-121.613054,Photo,Photo,Paradise High School portable classrooms (6) are fully involved,C,,
TD-141,11/8,16:05,Photo,0,39.762758,-121.613054,Photo,Photo,Paradise High School portable classrooms (6) are fully involved,C,,
TD-141,11/8,16:05,Photo,0,39.762496,-121.611981,Photo,Photo,"collapsed structure, burning",R,,
TD-142,11/8,16:22,video,0,39.756073,-121.626177,TD,video,commercial structures burning downtown,C,,
TD-142,11/8,16:30,Inferred,1020,39.758900,-121.624674,TD,TD,fire moving toward building from west and north,O,,
TD-142,11/8,16:30,Inferred,1020,39.757057,-121.625073,TD,TD,fire threatening structures,O,,
TD-142,11/8,16:30,Inferred,1020,39.757666,-121.624595,TD,TD,fire threatening structures,O,,
TD-142,11/8,16:30,Inferred,1020,39.759241,-121.624497,TD,TD,pine needles burning in garden bed,V,,
TD-142,11/8,16:30,Inferred,1020,39.759449,-121.623921,TD,TD,fire threatening structures,O,,
TD-141,11/8,16:33,Photo,0,39.760608,-121.612078,Photo,Photo,"structures burned to foundation on Maxwell Dr, minimal flames",R,x,
TD-141,11/8,16:33,Photo,0,39.760068,-121.612153,Photo,Photo,"structures burned to foundation on Maxwell Dr, minimal flames",R,x,
TD-141,11/8,16:33,Photo,0,39.760382,-121.611976,Photo,Photo,"structures on east side Maxwell, Pleasant to Elliott Rd, are burned to foundation, minimal active flames in rubble",R,x,
