Source #,Date,Time,Time Source,Obs Window (min),Latitude,Longitude,Location Source,Info Source,Fire Behavior Observations,Type of Fire,Residual Fire?,SSI
TD-063,11/8,07:49,911-064-1,0,39.754064,-121.570775,911-064-1,TD,spot fire,S,,
911-064-1,11/8,07:49,911-064-1,0,39.754132,-121.570864,911-064-1,911-064-1,fire in yard,S,,
911-066-1,11/8,07:50,911-066-1,0,39.754563,-121.570015,Inferred,911-066-1,fire just started very close to us,S,,
911-071-1,11/8,07:51,911-071-1,0,39.754132,-121.570864,911-071-1,911-071-1,fire in yard getting bigger by the second,S,,
911-084-1,11/8,07:56,911-084-1,0,39.755072,-121.569579,Inferred,911-084-1,fire behind home on Riverview Dr,S,,
911-086-3,11/8,07:58,911-086-3,0,39.762973,-121.567732,Inferred,911-086-3,fire coming up the hill by the back cottages,V,,
911-1035-1,11/8,08:00,911-1035-1,0,39.762078,-121.568099,Inferred,911-1035-1,fire within feet of structures,V,,
TD-063,11/8,08:02,PPD video,15,39.755087,-121.569543,PPD video,"TD, PPD video",spot fire coming up from canyon,S,,
PPD-01,11/8,08:02,PPD-01,0,39.754989,-121.569479,video,video,spot fire,S,,
911-104-1,11/8,08:09,911-104-1,0,39.754121,-121.570879,911-104-1,911-104-1,fire burning on property,S,,
911-1047-1,11/8,08:11,911-1047-1,0,39.757160,-121.571200,911-1047-1,911-1047-1,Feather River Hospital is getting spot fires on campus,S,,
TD-063,11/8,08:17,Inferred,3,39.755091,-121.571529,TD,TD,"south side yards/vegetation on fire, north side has no fire",V,,
911-1054-2,11/8,08:17,911-1054-2,0,39.754421,-121.570872,Inferred,911-1054-2,big fire behind house,V,,
TD-063,11/8,08:20,Inferred,30,39.757794,-121.571187,TD,TD,FRH: active fire on the hospital complex,V,,
Radio Log,11/8,08:20,Radio Log,0,39.756680,-121.568253,Inferred,Radio Log,FRH: fire right on property line,V,,
911-131-1,11/8,08:24,911-131-1,0,39.757421,-121.570929,911-131-1,911-131-1,hospital on fire,C,,
911-134-1,11/8,08:25,911-134-1,0,39.757421,-121.570929,911-134-1,911-134-1,FRH being impacted by fire,O,,
911-137-1,11/8,08:27,911-137-1,0,39.757421,-121.570929,911-137-1,911-137-1,hospital is on fire,C,,
TD-143,11/8,08:30,Inferred,30,39.754738,-121.572356,TD,TD,fire both sides of road; propane exploding,R,,
Radio Log,11/8,08:36,Radio Log,0,39.757060,-121.571208,Radio Log,Radio Log,fire within 3 m (10 ft) of FRH,V,,
TD-005,11/8,08:37,AVL,0,39.754633,-121.572426,AVL,TD,fire on east side of Pentz Rd about to hit Riverview Dr,V,,
TD-014,11/8,08:37,Radio Log,0,39.756607,-121.568242,Radio Log,Radio Log,active torching behind FRH,V,,
TD-005,11/8,08:38,AVL,0,39.754891,-121.571911,TD,TD,fire in front yard,S,,
TD-005,11/8,08:38,AVL,65,39.755100,-121.571617,AVL,TD,"Spots growing bigger than backpump size in seconds, and flames blowtorching, ember shower, all yards burning. Decorative stuff in yards burning that normally doesn't burn",S,,
TD-014,11/8,08:38,AVL,17,39.756387,-121.568888,TD,TD,FRH: fully involved buildings,C,,
TD-014,11/8,08:38,AVL,17,39.756620,-121.571889,TD,TD,FRH: fire on patio of OB unit,O,,
TD-014,11/8,08:40,Radio Log,0,39.756195,-121.572080,AVL,TD,FRH: fire on one of the patios at the hospital,O,,
911-179-1,11/8,08:46,911-179-1,0,39.757048,-121.571191,911-179-1,911-179-1,hospital fire alarm,C,,
TD-103,11/8,08:47,AVL,148,39.755683,-121.571747,AVL,TD,fire approaches from east,V,,
