Source #,Date,Time,Time Source,Obs Window (min),Latitude,Longitude,Location Source,Info Source,Fire Behavior Observations,Type of Fire,Residual Fire?,SSI
PPD-08,11/8,12:27,PPD-08,0,39.721894,-121.674285,Inferred,Radio,fire,O,,
TD-035,11/8,13:00,Inferred,60,39.699244,-121.612972,TD,TD,fire across roadway; fire coming up slope burning over road,V,,
TD-210,11/8,13:30,AVL,0,39.695569,-121.614212,AVL,TD,approximate fire edge,O,,
TD-046,11/8,13:30,TD-054,40,39.692996,-121.615581,TD,TD,"see fire and smoke; stopped and turned around, sent back to Butte College",V,,
TD-121,11/8,14:00,Inferred,180,39.701096,-121.580489,TD,TD,"fire spreading south, threatening structures",V,,
TD-132,11/8,14:08,Photo,0,39.679630,-121.610502,Photo,Photo,can see fire on ridgetop to east of Clark Rd,V,,
TD-141,11/8,14:08,Photo,0,39.683823,-121.607416,Photo,Photo,"southern edge of fire, up on ridge",V,,
TD-141,11/8,14:09,Photo,0,39.683823,-121.607416,Photo,Photo,fire up on ridge,V,,
TD-141,11/8,14:10,Photo,0,39.695215,-121.615773,Photo,Photo,"lower intensity fire front, moving south in grass and brush; limit of fire along Clark Rd",V,,
TD-110,11/8,14:11,Photo,0,39.693195,-121.615368,Photo,TD,southern edge of fire; fire both sides of Clark Rd,V,,
TD-132,11/8,14:11,Photo,0,39.693195,-121.615368,Photo,Photo,encounter southern edge of fire; fire both sides of Clark Rd,O,,
TD-133,11/8,14:11,Photo,0,39.693158,-121.615411,Photo,Photo,spot fires burning against road; southern edge of main fire burning lower intensity in grass,V,,
TD-133,11/8,14:12,Photo,0,39.704519,-121.609577,Photo,Photo,oak woodland has burned through,V,x,
TD-110,11/8,15:00,TD-208,0,39.682207,-121.619353,TD,TD,wind shifted in afternoon and blew fire down canyon,V,,
TD-208,11/8,15:17,AVL,2,39.679450,-121.624567,AVL,TD,flames sheeting 3 m to 4.6 m (10 ft to 15 ft); fire burned over hood,V,,
TD-102,11/8,15:25,Photo,0,39.695654,-121.628735,Photo,Photo,"line of fire, nominally east to west",V,,
TD-210,11/8,15:28,AVL,8,39.673320,-121.624817,AVL,TD,finger of fire,V,,
TD-210,11/8,15:28,AVL,124,39.662638,-121.628727,AVL,TD,igniting spots along west side of Clark Rd; several spots about 15 m (50 ft) off road,S,,
TD-102,11/8,15:29,Photo,0,39.695654,-121.628735,Photo,Photo,observe short range down slope spotting,S,,
TD-102,11/8,15:30,Inferred,0,39.695572,-121.628333,Photo,TD,fire is approaching from the north,V,,
TD-102,11/8,15:30,Inferred,0,39.695572,-121.628333,Photo,TD,approximate fire line,V,,
TD-102,11/8,15:40,Photo,0,39.692556,-121.632043,Photo,Photo,fire spreading in vegetation,V,,
TD-110,11/8,15:45,Inferred,0,39.690847,-121.628419,TD,TD,fire hung up on ridge to north,V,,
TD-102,11/8,15:53,Photo,0,39.693027,-121.631477,Photo,Photo,fire has burned vegetation in field; stumps and logs still burning,V,,
TD-210,11/8,16:14,AVL,57,39.668315,-121.615784,AVL,TD,fire threatening structures,O,,
TD-119,11/8,16:30,Inferred,270,39.697461,-121.628272,TD,TD,"fire up on ridge, coming downhill; extreme and variable winds; fire spotting",V,,
TD-119,11/8,16:33,Photo,0,39.692447,-121.625820,Photo,Photo,disorganized fire front burning downhill through grass oak woodland; minimal flame heights,V,,
TD-102,11/8,16:38,Photo,0,39.692004,-121.633525,Photo,Photo,"flames burning downhill in grass oak woodland, east toward structure",V,,
TD-102,11/8,16:39,Photo,0,39.692606,-121.631818,Photo,TD,"large tree down, burning",V,,
TD-102,11/8,16:39,Photo,0,39.693027,-121.631477,Photo,Photo,fire has burned vegetation in field; stumps and logs still burning,V,x,
VTD-18,11/8,16:48,TD,0,39.690713,-121.619650,video,video,southern end of fire on west side Clark Rd; east side burned already south of here,V,,
VTD-18,11/8,16:49,TD,0,39.686175,-121.633755,video,video,southern edge of main fire in vegetation (estimated),V,,
TD-120,11/8,16:55,Photo,41,39.692265,-121.629073,TD,TD,shed burned,O,,
TD-120,11/8,17:00,Photo,0,39.691985,-121.628919,Photo,Photo,vegetation fire,V,,
TD-120,11/8,17:00,Photo,0,39.689585,-121.630534,Photo,Photo,disorganized fire front,V,,
TD-211,11/8,17:03,AVL,25,39.679420,-121.627067,AVL,TD,fire had already burned through Rattlesnake Flats Rd,V,x,
TD-120,11/8,17:03,Photo,0,39.693513,-121.629937,Photo,Photo,"surface fuels in area have burned through, glowing remains, localized flaming",V,x,
TD-120,11/8,17:03,Photo,0,39.692509,-121.630674,Photo,Photo,"surface fuels in area have burned through, glowing remains, localized flaming",V,x,
TD-102,11/8,17:15,AVL E2185,0,39.691312,-121.629354,TD,TD,fire gets very close,V,,
TD-106,11/8,17:18,VTD-01,0,39.707698,-121.677168,video,TD,fire all around roadway driving down Neal Rd; held up by fire whirl for a minute,V,,
VTD-01,11/8,17:18,Video,0,39.707698,-121.677168,video,Twitter,fire whirl on Neal Rd,V,,
TD-106,11/8,17:30,Inferred,23,39.691565,-121.694399,TD,TD,"fire is slope reversal, lining up with drainages",V,,
TD-121,11/8,17:30,Inferred,120,39.698313,-121.584541,TD,TD,fire is moving south quickly,O,,
TD-121,11/8,17:30,Inferred,120,39.689064,-121.593182,TD,TD,fire burning SW down ridge,V,,
TD-119,11/8,17:36,Photo,0,39.689512,-121.630477,Photo,Photo,"increased fire activity, widespread across hillside",V,,
TD-102,11/8,17:40,AVL E2185,0,39.668311,-121.636192,TD,TD,drove through fire,V,,
TD-102,11/8,17:40,Inferred,0,39.657612,-121.647394,TD,TD,fire had passed below and was burning in Cory Canyon,V,,
TD-119,11/8,17:45,TD,195,39.678369,-121.634608,TD,TD,"detached garage burned, shed damaged",O,,
TD-065,11/8,17:50,Inferred,0,39.656833,-121.646325,TD,TD,fire is burning around Butte College,V,,
TD-042,11/8,18:00,TD,30,39.664504,-121.742140,TD,TD,fire crossing Hwy 99,V,,
TD-091,11/8,18:14,AVL,13,39.674000,-121.726967,AVL,TD,both sides of Neal Rd are already burned north of pull out,V,x,
TD-120,11/8,18:23,Photo,0,39.679162,-121.636959,TD,TD,fire burning from the west downhill towards structures; burning in grass,V,,
TD-120,11/8,18:26,Photo,0,39.678149,-121.638786,Photo,Photo,vegetation fire,V,,
TD-091,11/8,18:27,AVL,24,39.669583,-121.716700,TD,TD,fire coming across valley from the east,V,,
TD-120,11/8,18:27,Photo,113,39.678184,-121.639388,TD,TD,fire near structure,V,,
TD-120,11/8,18:27,Photo,0,39.678149,-121.638786,Photo,Photo,"vegetation fire, grass",V,,
TD-092,11/8,18:28,AVL,23,39.673967,-121.726883,AVL,TD,fire coming across valley from the east,V,,
TD-110,11/8,18:45,Inferred,0,39.639898,-121.628709,TD,TD,"fire jumped Durham-Pentz Rd; limited resources and burning away from houses, so let it go for now",V,,
TD-076,11/8,18:47,Photo,0,39.637289,-121.697731,Photo,Photo,fire south of Durham-Pentz Rd,V,,
TD-071,11/8,18:47,TD-076,0,39.639288,-121.696609,Photo,TD,fire both sides of Durham-Pentz Rd between 99 and College,V,,
TD-076,11/8,18:47,Photo,0,39.636897,-121.700941,Photo,Photo,intense fire burning in grass,V,,
TD-069,11/8,18:50,TD-064,0,39.655188,-121.646304,Inferred,TD,Butte College; hillside catches fire,V,,
Radio Log,11/8,18:50,Radio Log,0,39.653679,-121.728297,Radio Log,Radio Log,Fire is bumping Hwy 99 between Neal Rd and Durham-Pentz Rd,V,,
TD-064,11/8,19:00,Inferred,0,39.655188,-121.646304,Inferred,TD,hillside at Butte College catches fire,V,,
TD-106,11/8,19:00,Inferred,0,39.661045,-121.735427,TD,TD,"fire heading down hill, bumping Hwy 99",V,,
TD-102,11/8,19:04,Photo,0,39.666830,-121.644068,Photo,Photo,active fire in vegetation,V,,
TD-102,11/8,19:04,Photo,0,39.665794,-121.642383,Photo,Photo,fire burning in grass on hillside above structures,V,,
TD-201,11/8,19:05,Radio Log,0,39.651152,-121.727633,Radio Log,"TD, Radio Log","Fire jumped Hwy 99, 0.8 ha to 1.2 ha (2 ac to 3 ac); also jumped Durham-Pentz Rd; wind driven from NE",V,,
TD-201,11/8,19:05,Radio Log,0,39.640100,-121.710110,Radio Log,Radio Log,fire also jumped Durham-Pentz Rd into that triangle and will be bumping Hwy 99 there as well,V,,
TD-201,11/8,19:05,AVL,0,39.658273,-121.724358,TD,TD,fingery fire; 11 m/s to 13 m/s (25 mi/h to 30 mi/h) winds; spotting fires in grass and jumping over Hwy 99 in at least 3 places,V,,
TD-211,11/8,19:07,AVL,0,39.638700,-121.681767,AVL,TD,fire burning up along Durham-Pentz Rd; drove through flames blowing onto road,V,,
TD-092,11/8,19:07,AVL,0,39.659543,-121.737382,AVL,TD,"slop over, fire burning on W side of Hwy 99",V,,
TD-091,11/8,19:10,AVL,110,39.661225,-121.744638,AVL,TD,fire slop over Hwy 99,V,,
TD-106,11/8,19:10,AVL TD-091,110,39.659543,-121.737382,AVL TD-091,TD,fire slop over on south side Hwy 99; fire shoots through underpass culvert,V,,
TD-211,11/8,19:14,AVL,0,39.657102,-121.740002,AVL,TD,fire burning on west side Hwy 99,V,,
TD-110,11/8,19:24,Radio Log,0,39.631947,-121.638452,Imagery,Radio Log,"fire is about to jump Clark Rd, south of Durham-Pentz Rd",V,,
TD-102,11/8,19:24,Radio Log,0,39.630269,-121.638327,TD,TD,advised that fire is crossing Clark Rd at the Camelot Horse Farm; residents had evacuated animals to the farm,V,,
TD-121,11/8,19:30,TD,0,39.681618,-121.572735,TD,TD,fire threatening neighborhood,V,,
VTD-01,11/8,19:45,Twitter,0,39.664384,-121.744302,video,Twitter,fire spotting across Hwy 99 at Neal Rd,V,,
TD-020,11/8,20:00,Inferred,0,39.692918,-121.580194,TD,TD,active fireline,V,,
TD-102,11/8,20:13,Photo,0,39.639481,-121.670731,Photo,Photo,fire burning in grass north of Durham-Pentz Rd,V,,
TD-054,11/8,20:20,Photo,0,39.651845,-121.656006,TD,TD,fire approaching ridge line,V,,
TD-120,11/8,20:22,Inferred,0,39.677156,-121.635476,TD,TD,shop fully involved,O,,
TD-120,11/8,20:22,Photo,0,39.678810,-121.635421,Photo,Photo,firing operation in grass above structure,V,,
Radio Log,11/8,20:27,Radio Log,0,39.601640,-121.662023,Radio Log,Radio Log,"fire is at Hwy 149 and Shippee Rd, about to cross Hwy 149",V,,
TD-054,11/8,20:40,Photo,0,39.648509,-121.653927,TD,TD,"fire reaches Butte College, right up to concrete",V,,
TD-121,11/8,21:00,TD,120,39.697846,-121.574343,TD,TD,fire burned homes,R,,
TD-102,11/8,21:12,Photo,0,39.639993,-121.664305,Photo,Photo,fire in grass burning against north side Durham-Pentz Rd,V,,
TD-102,11/8,22:00,TD,60,39.656505,-121.653190,AVL,TD,structure burned,R,,
TD-102,11/8,22:00,TD,60,39.663508,-121.644901,AVL,TD,structure burned,R,,
Radio Log,11/8,22:24,Radio Log,0,39.601640,-121.662023,Radio Log,Radio Log,high probability of spots across Hwy 149,V,,
TD-102,11/8,23:18,Radio Log,0,39.660557,-121.652699,Radio Log,Radio Log,small fire in the corner of structure,R,,
TD-102,11/8,23:29,Inferred,66,39.660557,-121.652699,TD,TD,small fire in structure,R,,
TD-201,11/9,00:31,Radio Log,0,39.655600,-121.741876,AVL,Radio Log,fire burning in wood facility,O,,
Radio Log,11/9,01:15,Radio Log,0,39.601640,-121.662023,Radio Log,Radio Log,extent of fire; perimeter established,V,,
TD-201,11/9,01:41,Radio Log,0,39.647250,-121.662260,Radio Log,Radio Log,imminent structure threat,O,,
TD-102,11/9,01:53,Inferred,333,39.648667,-121.664614,TD,TD,low creeping fire activity,V,,
TD-102,11/9,01:53,Inferred,333,39.648667,-121.664614,TD,TD,burning woodpiles,O,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
