Source #,Date,Time,Time Source,Obs Window (min),Latitude,Longitude,Location Source,Info Source,Fire Behavior Observations,Type of Fire,Residual Fire?,SSI
911-092-1,11/8,08:01,911-092-1,0,39.804374,-121.578145,Inferred,911-092-1,spot fires on west side of canyon by Sawmill Peak,S,,
TD-006,11/8,08:41,Radio Log,0,39.804814,-121.578638,TD,TD,spot fires in Old Magalia,S,,
911-207-1,11/8,09:02,911-207-1,0,39.804374,-121.578145,Inferred,911-207-1,new fire starting,S,,
911-217-1,11/8,09:07,911-217-1,0,39.804374,-121.578145,Inferred,911-217-1,fire both sides of road,S,,
911-230-1,11/8,09:16,911-230-1,0,39.804374,-121.578145,Inferred,911-230-1,structures are burning,R,,
911-240-1,11/8,09:21,911-240-1,0,39.712138,-121.578005,911-240-1,911-240-1,structure on fire,C,,
911-241-1,11/8,09:21,911-241-1,0,39.712138,-121.578005,911-241-1,911-241-1,fire,C,,
PPD-02,11/8,09:46,PPD-02,1,39.802526,-121.578640,video,video,spot fire in vegetation on both sides of Skyway up against roadway,S,,
TD-041,11/8,11:05,Inferred,0,39.806386,-121.577594,TD,TD,fire is up to edge of Skyway; northern flank of fire,V,,
PPD-10,11/8,11:53,PPD-10,0,39.801315,-121.582699,video,video,large flames,O,,
TD-079,11/8,12:10,AVL,0,39.804683,-121.577867,AVL,TD,everything on fire driving up Skyway - both sides of road,O,,
TD-060,11/8,12:18,AVL,0,39.812633,-121.575716,AVL,TD,spot fire down in canyon,S,,
TD-009,11/8,12:18,AVL,0,39.810739,-121.577389,AVL,TD,estimated flank of the fire,O,,
TD-083,11/8,12:21,AVL,0,39.803900,-121.581867,AVL,TD,"fire on south side of Ishi Dr, only one fire on north side (detached garage on fire, mobile home burning under floor)",R,,
TD-060,11/8,12:27,AVL,14,39.808500,-121.579350,AVL,TD,Fire hit old fire station in Old Magalia and trees pretty hard. Pine needles on metal roof ignite.,V,,
TD-079,11/8,12:28,AVL,16,39.803254,-121.583125,AVL,TD,"side panel of house on fire, houses igniting by ember ignitions",R,,
TD-079,11/8,12:46,AVL,20,39.802787,-121.585373,AVL,TD,"grass fires, not all homes burning yet",V,,
TD-060,11/8,12:56,AVL,62,39.800715,-121.600447,AVL,TD,"10 structures fully involved, fire moving house to house (S side of Andover Dr)",R,,
TD-060,11/8,12:56,AVL,62,39.800954,-121.598777,AVL,TD,fire threatening structures,O,,
TD-060,11/8,12:56,AVL,62,39.800586,-121.597584,AVL,TD,4 to 6 structures on fire,R,,
TD-060,11/8,12:56,AVL,62,39.808038,-121.598450,AVL,TD,fire threatening structures,O,,
TD-060,11/8,12:58,Radio Log,0,39.800960,-121.597524,AVL,Radio Log,fire at S Park Dr and Adrian Dr,O,,
