Source #,Date,Time,Time Source,Obs Window (min),Latitude,Longitude,Location Source,Info Source,Fire Behavior Observations,Type of Fire,Residual Fire?,SSI
TD-104,11/8,08:30,TD,0,39.734419,-121.628216,TD,TD,fire in canyon burning westward into backyards at end of Eldridge Dr,V,,
TD-104,11/8,09:00,TD,0,39.732695,-121.631406,TD,TD,backyard igniting; embers and ash falling,V,,
TD-106,11/8,10:30,Inferred,0,39.728016,-121.655837,TD,TD,"fire front not here yet, just spots",S,,
TD-106,11/8,10:30,Inferred,420,39.727639,-121.657419,TD,TD,spot fires,S,,
PPD-02,11/8,10:57,PPD-02,0,39.727458,-121.655529,Radio,Radio,flames coming up Red Sky Ln,O,,
TD-068,11/8,11:00,Inferred,60,39.732229,-121.663044,TD,TD,glow coming from drainage between Neal Rd and Skyway; cannot tell if structures burning,O,,
TD-078,11/8,11:00,Inferred,30,39.727544,-121.655506,TD,TD,small spot fires on Neal Rd,S,,
TD-053,11/8,11:00,Inferred,30,39.727514,-121.655504,TD,TD,fire coming over Neal Rd,O,,
TD-053,11/8,11:00,Inferred,30,39.728220,-121.656609,TD,TD,fire on NW side of Neal Rd,O,,
PPD-08,11/8,11:28,PPD-08,0,39.727459,-121.655531,Radio,Radio,flames are getting much closer to Neal Rd now up from big sky,V,,
PPD-08,11/8,11:29,PPD-08,0,39.727459,-121.655531,Radio,Radio,flames are getting really close to Neal Rd,V,,
TD-066,11/8,11:30,TD,0,39.729972,-121.652711,TD,TD,fire activity both sides of Neal Rd north of Wayland Rd,O,,
TD-073,11/8,11:30,Inferred,60,39.727998,-121.655696,TD,TD,fire west side of Neal Rd; in area of Red Sky Ln and Bayleaf Ln,O,,
TD-205,11/8,11:42,Photo,0,39.726142,-121.666917,Photo,Photo,can see fire on ridge,V,,
TD-205,11/8,11:42,Photo,0,39.729143,-121.661931,Photo,Photo,extensive line of fire burning on ridge,V,,
TD-205,11/8,11:42,Photo,0,39.729143,-121.661931,Photo,Photo,extensive line of fire burning on ridge,V,,
PPD-08,11/8,11:48,PPD-08,0,39.737026,-121.648791,Radio,Radio,"Neal Rd at Roe Rd, fire about 14 m to 18 m (15 yd to 20 yd) from the road",O,,
TD-091,11/8,11:53,AVL,30,39.728161,-121.656972,AVL,TD,fire is bumping behind these structures; fire in drainage,V,,
TD-066,11/8,12:00,TD,10,39.737919,-121.647952,TD,TD,fire all around,O,,
TD-106,11/8,12:00,"TD-205, PPD video",0,39.727586,-121.655546,TD,TD,fire front came all around,O,,
TD-073,11/8,12:04,PPD video,0,39.727499,-121.655527,TD,TD,fire at Wayland and Neal Rd,V,,
TD-128,11/8,12:07,AVL,0,39.732850,-121.651417,AVL,TD,fire is backing up hill toward subdivision (from SW),V,,
TD-014,11/8,12:08,Radio Log,0,39.736998,-121.648789,Radio Log,Radio Log,multiple vehicles being overrun by fire on Neal Rd and Roe Rd area,O,,
TD-205,11/8,12:09,AVL,18,39.732763,-121.653864,AVL,TD,fire to south of street - getting into back yards; intense fire activity,V,,
TD-205,11/8,12:09,Photo,4,39.732763,-121.653864,Photo,Photo,fire in backyard,V,,
TD-207,11/8,12:09,AVL,13,39.732783,-121.654217,AVL,TD,fire behind structures,V,,
TD-205,11/8,12:09,Photo,0,39.732369,-121.654058,Photo,Photo,"fire burning behind structures, 12 m (40 ft) flames",V,,
TD-205,11/8,12:13,Photo,0,39.732492,-121.654469,Photo,Photo,"vegetation fire, trees torching; possible structure burning",O,,
PPD-08,11/8,12:13,PPD-08,0,39.730861,-121.652047,Radio,Radio,"lower Neal Rd north of Wayland Rd, fires crossing the road",O,,
PPD-08,11/8,12:17,PPD-08,0,39.736913,-121.648907,Radio,Radio,[3000 blk] flames almost to road,O,,
TD-050,11/8,12:20,Inferred,0,39.738122,-121.647717,TD,TD,burning both sides of road; truck and utility trailer on fire,O,,
TD-091,11/8,12:23,AVL,96,39.729684,-121.654360,AVL,TD,fire jumping dozer lines,V,,
TD-205,11/8,12:23,Photo,0,39.731907,-121.655013,Photo,Photo,"fire approaching homes, threatening structures",O,,
TD-092,11/8,12:25,AVL,8,39.728496,-121.657367,AVL,TD,fire burning east towards Neal Rd,O,,
TD-200,11/8,12:28,AVL,0,39.741621,-121.643231,AVL,TD,fire everywhere on Neal Rd,O,,
PPD-08,11/8,12:29,PPD-08,0,39.729943,-121.652728,Radio,Radio,fire was right up against the road just inside the town limits,O,,
PPD-08,11/8,12:31,PPD-08,0,39.738838,-121.646886,Radio,Radio,fire is now crossing Neal Rd eastbound south of Jay Ln,O,,
TD-092,11/8,12:36,AVL,42,39.729796,-121.658576,AVL,TD,"fire was bumping up to barn, tree on fire",V,,
VTD-05,11/8,13:00,Inferred,60,39.723699,-121.660086,video,video,fire burning up out of canyon spreading south,V,,
VTD-05,11/8,13:00,Inferred,60,39.723281,-121.660694,video,video,fire burning in canyon,V,,
VTD-05,11/8,13:00,Inferred,60,39.723386,-121.661749,video,video,past peak veg fire in canyon,V,,
VTD-05,11/8,13:00,Inferred,60,39.722642,-121.662549,video,video,fire in canyon,V,,
TD-091,11/8,13:27,AVL,32,39.729774,-121.653727,TD,TD,burning vehicle threatening structure,O,,
TD-104,11/8,13:43,Photo,0,39.732815,-121.632743,Photo,Photo,"significant fire at end of Eldridge Dr; vegetation, possibly structures burning",O,,
TD-104,11/8,13:44,Photo,0,39.732592,-121.632862,Photo,Photo,structure fully involved,R,,
TD-104,11/8,13:44,Photo,0,39.732596,-121.633190,Photo,"TD, Photo","huge propane tank, deck engulfed, too far gone; propane fell through deck and relief valve blew and deck exploded; structures on fire",R,,
TD-104,11/8,13:44,Photo,0,39.732596,-121.632857,Photo,"TD, Photo",structure fully involved,R,,
TD-104,11/8,13:44,Photo,0,39.732592,-121.632862,Photo,Photo,structure fully involved,R,,
TD-104,11/8,13:44,Photo,0,39.732577,-121.633146,Photo,Photo,structure burning,R,,
TD-104,11/8,13:45,Photo,0,39.732815,-121.632743,Photo,Photo,fire down end of Eldridge Dr,V,,
TD-092,11/8,13:52,AVL,9,39.730500,-121.651600,AVL,TD,burning vehicle threatening structure,O,,
TD-104,11/8,14:00,Inferred,120,39.732707,-121.636506,TD,TD,fire approaching from west,V,,
TD-104,11/8,14:00,Inferred,120,39.732579,-121.636446,TD,TD, 180 mm × 25 mm × 6 mm (7 in × 1 in × 0.25 in) flaming bark ember,O,,
TD-104,11/8,14:00,Inferred,120,39.732524,-121.640887,TD,TD,fire in canyon,V,,
TD-104,11/8,14:00,Inferred,120,39.732902,-121.640698,TD,TD,"hearing rumble of a freight train, rumbling of jet engine; severe fire activity from canyon",V,,
TD-002,11/8,14:00,TD,120,39.745004,-121.633488,TD,TD,embers and fire front arrived; structure ignited at roof-wall intersection; embers size of golf balls; retaining wall burned; shake roof on shed ignited first,R,,
TD-091,11/8,14:02,Photo,13,39.731788,-121.651833,Photo,TD,burning car was igniting siding of house,R,,
TD-091,11/8,14:02,AVL,13,39.731536,-121.652034,AVL,TD,decorative bark burning; igniting garage,R,,
TD-092,11/8,14:04,AVL,10,39.731388,-121.650904,AVL,TD,bamboo area burning right up against house,V,,
TD-091,11/8,14:07,Photo,0,39.731660,-121.651819,Photo,Photo,"vehicle fully involved, igniting exterior of structure",O,,
TD-091,11/8,14:07,Photo,0,39.732541,-121.651772,Photo,Photo,"multiple structures past peak, fully involved on Grinding Rock Rd",R,,
VTD-20,11/8,14:09,TD,0,39.724416,-121.672744,video,video,spotty fire activity up on ridge,V,,
TD-092,11/8,14:16,AVL,196,39.733034,-121.650847,TD,TD,eaves of structure on fire,R,,
TD-092,11/8,14:28,AVL,0,39.730000,-121.648983,AVL,TD,"fire burning towards the north; burning is spotty, not pushing hard",V,,
TD-076,11/8,14:43,Photo,0,39.745718,-121.638429,Photo,Photo,structure fully involved,C,,
VTD-20,11/8,14:57,TD,0,39.745712,-121.638434,video,video,structure fully involved,C,,
TD-036,11/8,14:59,video,0,39.745721,-121.638431,video,video,structure fully involved,R,,
TD-066,11/8,15:05,PPD video,3,39.746205,-121.638181,PPD video,TD,very hot at Neal Rd and Skyway,C,,
PPD-15,11/8,15:05,PPD-15,0,39.745711,-121.638441,video,video,structure fully involved,C,,
TD-104,11/8,15:31,Photo,0,39.733131,-121.636453,Photo,"TD, Photo","fire in overgrown tall grass, fire burning up to fence line",V,,
TD-104,11/8,15:31,Photo,0,39.733127,-121.636448,Photo,Photo,significant vegetation fire very close to structure,V,,
TD-104,11/8,15:42,Photo,0,39.733127,-121.636448,Photo,Photo,structure fully involved,R,,
TD-104,11/8,15:43,Photo,0,39.733131,-121.636453,Photo,"TD, Photo","house fully involved; trailer ignites, propane exploded; fence on fire",R,,
TD-104,11/8,15:43,Photo,0,39.731749,-121.636035,Photo,"TD, Photo",fire burning on parcel,V,,
TD-104,11/8,15:43,Photo,0,39.731801,-121.635998,Photo,Photo,flames and smoke,O,,
TD-104,11/8,16:09,Photo,0,39.732950,-121.636268,Photo,"TD, Photo",RV and structure fully involved,R,,
TD-104,11/8,16:09,Photo,0,39.733027,-121.636384,Photo,Photo,RV and structure are fully involved,R,,
TD-104,11/8,16:13,Photo,0,39.732720,-121.636905,Photo,"TD, Photo","yard igniting/burning; fire coming up the grass hill; surface fire, flames 0.3 m to 0.6 m (1 ft to 2 ft)",V,,
TD-104,11/8,16:13,Photo,0,39.732694,-121.636942,Photo,Photo,"surface fire burning in the backyard, flames 0.9 m (3 ft)",V,,
TD-104,11/8,16:19,Photo,0,39.732336,-121.637359,Photo,"TD, Photo",fire burning west to east into backyards of Foster; larger flame heights,V,,
TD-104,11/8,16:19,Photo,0,39.731942,-121.638297,Photo,"TD, Photo",structure is burning; larger flame heights,R,,
TD-104,11/8,16:19,Photo,0,39.731988,-121.638285,Photo,Photo,structure fully involved,R,,
TD-104,11/8,16:19,Photo,0,39.732567,-121.636942,Photo,Photo,surface fire in backyard,V,,
TD-091,11/8,16:33,AVL,20,39.733577,-121.650989,AVL,TD,decorative landscaping on fire,O,,
TD-091,11/8,16:47,video,0,39.733246,-121.651026,video,TD,structure fully involved,R,,
TD-091,11/8,16:47,Photo,0,39.733241,-121.651070,Photo,Photo,structure fully involved,R,,
TD-091,11/8,16:47,Photo,0,39.733571,-121.651349,Photo,Photo,structure fully involved,R,,
TD-091,11/8,16:55,AVL,6,39.733933,-121.651551,AVL,TD,fire threatening structure,V,,
TD-091,11/8,17:09,AVL,5,39.734971,-121.650106,AVL,TD,landscape bark burned into subfloor vents,R,,
TD-091,11/8,17:18,AVL,0,39.735367,-121.650817,AVL,TD,landscaping on fire; igniting structures,R,,
TD-091,11/8,17:21,video,4,39.735417,-121.650183,AVL,TD,garage fully involved; ground fuels igniting,R,,
TD-091,11/8,17:23,Photo,0,39.735602,-121.650187,Photo,Photo,"detached garage fully involved, significant exposure to main structure",O,,x
TD-091,11/8,17:23,Photo,0,39.735428,-121.650086,Photo,Photo,numerous small vegetation spot fires on parcel,S,,
TD-091,11/8,17:25,Photo,0,39.735602,-121.650187,Photo,Photo,"detached garage fully involved, significant exposure to main structure; eaves smoking",O,,
TD-106,11/8,17:30,Inferred,15,39.727616,-121.654990,TD,TD,"surrounded by fire, both sides of Neal Rd; miserable trying to make it out of area",R,,
TD-091,11/8,17:39,AVL,35,39.727008,-121.654899,AVL,TD,heavy fire activity,O,,
TD-091,11/8,17:39,AVL,35,39.727703,-121.655095,AVL,TD,fire pushing in from the north east,O,,
TD-104,11/8,18:09,Photo,0,39.731620,-121.636002,Photo,"TD, Photo",fire burning primarily on east side Foster Rd one small spot on west side,O,,
TD-104,11/8,18:09,Photo,0,39.731741,-121.635985,Photo,Photo,possible structure burning,O,,
TD-104,11/8,19:00,,60,39.732574,-121.635377,Photo,Inferred,two structures burning,R,,
TD-104,11/8,19:25,Photo,0,39.732616,-121.634653,Photo,"TD, Photo",structure fully involved,R,,
TD-104,11/8,19:25,Photo,0,39.732559,-121.634654,Photo,Photo,structure fully involved,R,,
TD-104,11/8,20:20,Photo,0,39.732556,-121.635578,Photo,Photo,Structure on Eldridge Dr burning,R,,
TD-104,11/8,21:29,Photo,0,39.732184,-121.636817,Photo,"TD, Photo",structure igniting,R,,
TD-104,11/8,23:17,Photo,0,39.732284,-121.636929,Photo,"TD, Photo","garage is well involved; wood roof structure, concrete building; fence and boat are threatened/igniting",O,,
TD-104,11/8,23:17,Photo,0,39.732188,-121.636807,Photo,"TD, Photo",garage fully involved,O,,
TD-104,11/8,23:17,Photo,0,39.732316,-121.636503,Photo,"TD, Photo",structure is smoking and about to ignite,R,,
TD-104,11/8,23:17,Photo,0,39.732228,-121.636919,Photo,Photo,structure fully involved,R,,
TD-104,11/9,00:04,Photo,0,39.732221,-121.636437,Photo,"TD, Photo",fence and vegetation (oleander) burning up against structure,V,,
TD-104,11/9,00:04,Photo,0,39.732221,-121.636437,Photo,Photo,fence and vegetation (oleander) burning up against structure,V,,
TD-104,11/9,00:30,Photo,0,39.732313,-121.636505,Photo,"TD, Photo",structure burning,R,,
TD-104,11/9,00:30,Photo,0,39.732322,-121.636507,Photo,Photo,structure igniting; flames through the roof,R,,
TD-104,11/9,00:42,Photo,0,39.732313,-121.636505,Photo,"TD, Photo",structure well involved; burning up in roof; burned from south to north,R,,
TD-104,11/9,00:42,Photo,0,39.732322,-121.636507,Photo,Photo,structure well involved; flames through the roof,R,,
TD-104,11/9,00:43,Photo,0,39.732322,-121.636507,Photo,Photo,structure well involved; flames through the roof,R,,
TD-104,11/9,00:45,Photo,0,39.732322,-121.636507,Photo,Photo,structure well involved; flames through the roof; generating firebrands,R,,
