Source #,Date,Time,Time Source,Obs Window (min),Latitude,Longitude,Location Source,Info Source,Fire Behavior Observations,Type of Fire,Residual Fire?,SSI
TD-008,11/8,11:08,Radio Log,0,39.710355,-121.556751,Radio Log,Radio Log,fire established in canyon to point where river turns into lake,V,,
TD-108,11/8,12:25,Photo,0,39.722200,-121.551798,Photo,Photo,"southern extent of fire, burning in canyon",V,,
TD-031,11/8,12:38,Photo,0,39.732934,-121.539099,Photo,Photo,massive gray smoke plume from main fire rising from canyon,V,,
TD-031,11/8,13:00,AVL,11,39.743772,-121.524825,AVL,TD,Huge fire to north of Comfort Ln,V,,
TD-013,11/8,13:00,Inferred,0,39.736194,-121.540577,TD,TD,fire down in the canyons,V,,
TD-013,11/8,13:00,Inferred,300,39.720645,-121.541835,TD,TD,fire threatening structures,O,,
TD-138,11/8,13:00,Inferred,390,39.723426,-121.542672,TD,TD,low intensity fire backing down,V,,
TD-137,11/8,13:53,Photo,0,39.726779,-121.549450,Photo,Photo,"fire burning NW of the pond, beyond ridge",V,,
TD-137,11/8,13:53,Photo,0,39.729353,-121.549158,Photo,Photo,smoke rising from canyon,V,,
TD-062,11/8,14:11,AVL,445,39.728383,-121.540450,AVL,TD,fire came from NE; destroyed 5 of 7 structures,R,,
TD-140,11/8,14:14,video,0,39.741429,-121.526257,video,TD,"fire is spotting ahead of main front, south toward Nelson Bar Rd",S,,
TD-140,11/8,14:14,Photo,0,39.740353,-121.526549,Photo,Photo,"several spot fires burning in thick brush, pines; west side of Concow Rd",S,,
TD-140,11/8,14:14,Photo,0,39.742514,-121.525605,Photo,Photo,"large flame lengths, active fire west of Concow Rd",V,,
TD-140,11/8,14:15,Inferred,165,39.733180,-121.542777,TD,TD,fire is burning toward the SW in the drainage north of Nelson Bar Rd,V,,
TD-140,11/8,14:15,Inferred,165,39.730634,-121.544377,TD,TD,fire burning toward Nelson Bar Rd from drainage,V,,
TD-031,11/8,14:25,Photo,0,39.733386,-121.541970,Photo,Photo,significant smoke plume rising from general area,V,,
TD-027,11/8,14:40,Inferred,0,39.742334,-121.524345,TD,TD,fire 60 m (200 ft) from structure,V,,
TD-136,11/8,14:55,Photo,0,39.733386,-121.541970,Photo,Photo,significant smoke plume rising from general area,V,,
TD-136,11/8,14:59,Photo,0,39.730005,-121.548356,Photo,Photo,large amount of smoke coming from canyon,V,,
TD-136,11/8,15:00,Photo,7,39.724755,-121.538913,Photo,Photo,view west along fire front,V,,
TD-136,11/8,15:03,Photo,0,39.724755,-121.538913,Photo,Photo,large amount of smoke coming from canyon,V,,
TD-136,11/8,15:07,Photo,0,39.728941,-121.548790,Photo,Photo,fire burning in canyon,V,,
TD-027,11/8,15:40,video,0,39.742334,-121.524345,TD,TD,"pickup truck was burning, threatening house",O,,
TD-027,11/8,15:40,Photo,0,39.742220,-121.524139,Photo,Photo,vehicle fully involved next to structure,O,,
TD-013,11/8,15:43,AVL E2364,0,39.730535,-121.513448,AVL E2364,TD,fire threatening structures,O,,
TD-027,11/8,16:00,TD,0,39.738810,-121.526594,TD,TD,fire overruns property,R,,
TD-027,11/8,16:22,Photo,0,39.739538,-121.525511,Photo,Photo,fire front burning through forested area; line oriented east to west,V,,
TD-027,11/8,16:30,TD,0,39.739806,-121.526244,TD,TD,fire approaching Concow school,V,,
TD-027,11/8,17:00,Inferred,0,39.723704,-121.544424,TD,TD,fire front approaching parallel to Nelson Bar Rd from NW,V,,
TD-136,11/8,17:00,TD,0,39.730078,-121.537927,TD,TD,"fire approaches from the north; very intense, and fast, lots of spot fires; burning through thick manzanita fuel",V,,
