Source #,Date,Time,Time Source,Obs Window (min),Latitude,Longitude,Location Source,Info Source,Fire Behavior Observations,Type of Fire,Residual Fire?,SSI
TD-063,11/8,07:49,911-064-1,0,39.754064,-121.570775,911-064-1,TD,spot fire,S,,
911-064-1,11/8,07:49,911-064-1,0,39.754132,-121.570864,911-064-1,911-064-1,fire in yard,S,,
TD-023,11/8,07:50,Inferred,60,39.788645,-121.576042,TD,TD,"fire approached orchard from Sawmill Peak; spot fire in orchard burning 0.9 m to 1.5 m (3 ft to 5 ft) dead brown grass; flames were tree height, 3 m (10 ft)",V,,
911-066-1,11/8,07:50,911-066-1,0,39.754563,-121.570015,Inferred,911-066-1,fire just started very close to us,S,,
911-071-1,11/8,07:51,911-071-1,0,39.754132,-121.570864,911-071-1,911-071-1,fire in yard getting bigger by the second,S,,
911-074-1,11/8,07:52,911-074-1,0,39.788694,-121.576035,Inferred,911-074-1,huge fire in orchard,S,,
911-1026-1,11/8,07:52,911-1026-1,0,39.774496,-121.576350,911-1026-1,911-1026-1,"little fire here, probably going to spread",S,,
911-1027-4,11/8,07:52,911-1027-4,0,39.783271,-121.570245,911-1027-4,911-1027-4,spot fire starting,S,,
911-077-3,11/8,07:53,911-077-3,0,39.778763,-121.577193,911-077-3,911-077-3,vegetation fire in side yard,S,,
911-082-1,11/8,07:56,911-082-1,0,39.788579,-121.576068,Inferred,911-082-1,fire in Noble Orchard,S,,
911-084-1,11/8,07:56,911-084-1,0,39.755072,-121.569579,Inferred,911-084-1,fire behind home on Riverview,S,,
911-085-2,11/8,07:57,911-085-2,0,39.765917,-121.576704,911-085-2,911-085-2,burning sticks falling from sky,O,,
TD-021,11/8,07:58,Radio Log,35,39.788734,-121.576054,TD,TD,find spot fire 6 m × 6 m (20 ft × 20 ft) in apple orchard; no other fire visible,S,,
TD-023,11/8,07:58,TD-021,52,39.788316,-121.576915,TD,TD,orchard still on fire,V,,
911-086-3,11/8,07:58,911-086-3,0,39.762973,-121.567732,Inferred,911-086-3,fire coming up the hill by the back cottages,V,,
911-086-4,11/8,07:58,911-086-4,0,39.788622,-121.576136,Inferred,911-086-4,fire burning like mad,S,,
911-088-1,11/8,07:59,911-088-1,0,39.774704,-121.569142,911-088-1,911-088-1,major flames behind house,V,,
TD-061,11/8,08:00,Inferred,8,39.781375,-121.579608,TD,TD,spot fire,S,,
TD-042,11/8,08:00,Inferred,40,39.789651,-121.573591,TD,TD,spot off Dean behind the orchard,S,,
911-1034-2,11/8,08:00,911-1034-2,0,39.783199,-121.576113,Inferred,911-1034-2,spot fire in field behind house,S,,
911-1035-1,11/8,08:00,911-1035-1,0,39.762078,-121.568099,Inferred,911-1035-1,fire within feet of structures,V,,
TD-063,11/8,08:02,PPD video,15,39.755087,-121.569543,PPD video,"TD, PPD video",spot fire coming up from canyon,S,,
911-1040-1,11/8,08:02,911-1040-1,0,39.782604,-121.570423,911-1040-1,911-1040-1,spot fire,S,,
PPD-01,11/8,08:02,PPD-01,0,39.754989,-121.569479,video,video,spot fire,S,,
911-095-1,11/8,08:02,911-095-1,0,39.769079,-121.576232,Inferred,911-095-1,fire is behind the church,S,,
911-098-1,11/8,08:04,911-098-1,0,39.769217,-121.576368,Inferred,911-098-1,fire in back of lot,S,,
TD-024,11/8,08:05,TD,0,39.783767,-121.573596,TD,TD,spot fire,S,,
911-100-1,11/8,08:06,911-100-1,0,39.769217,-121.576368,Inferred,911-100-1,fire burning in dry grass,S,,
TD-022,11/8,08:08,Inferred,0,39.788320,-121.576828,TD,TD,spot fire,S,,
