Source #,Date,Time,Time Source,Obs Window (min),Latitude,Longitude,Location Source,Info Source,Fire Behavior Observations,Type of Fire,Residual Fire?,SSI
911-092-1,11/8,08:01,911-092-1,0,39.804374,-121.578145,Inferred,911-092-1,spot fires on west side of canyon by Sawmill Peak,S,,
911-128-1,11/8,08:24,911-128-1,0,39.781580,-121.598282,911-128-1,911-128-1,fire started on bike path,S,,
TD-113,11/8,08:30,TD,30,39.785046,-121.606910,TD,TD,3 to 4 spot fires down in canyon,S,,
911-142-1,11/8,08:31,911-142-1,0,39.796563,-121.585649,911-142-1,911-142-1,spot fire,S,,
911-142-2,11/8,08:31,911-142-2,0,39.796563,-121.585649,911-142-2,911-142-2,spot fire,S,,
VTD-12,11/8,08:35,911-152-1,84,39.794571,-121.586945,video,video,large spot fires,S,,
VTD-12,11/8,08:35,Inferred,84,39.790099,-121.591535,Inferred,TD,fire everywhere,O,,
911-152-1,11/8,08:35,911-152-1,0,39.796563,-121.585649,911-152-1,911-152-1,spot fire,S,,
911-153-1,11/8,08:35,911-153-1,0,39.796563,-121.585649,911-153-1,911-153-1,spot fire,S,,
911-154-1,11/8,08:35,911-154-1,0,39.795122,-121.587174,911-154-1,911-154-1,fire; it's huge,S,,
911-155-1,11/8,08:36,911-155-1,0,39.796563,-121.585649,911-155-1,911-155-1,fire,S,,
911-162-1,11/8,08:39,911-162-1,0,39.778220,-121.604211,Inferred,911-162-1,flames on bike path,S,,
911-164-1,11/8,08:40,911-164-1,0,39.797065,-121.585487,911-164-1,911-164-1,fire,S,,
TD-006,11/8,08:41,Radio Log,0,39.804814,-121.578638,TD,TD,spot fires in Old Magalia,S,,
TD-111,11/8,08:41,Inferred,4,39.749885,-121.653210,TD,TD,"fire had clearly spotted over Paradise, can see smoke in canyon",S,,
911-165-1,11/8,08:42,911-165-1,0,39.795419,-121.586980,911-165-1,911-165-1,0.1 ha (0.25 ac) spot fire,S,,
911-167-1,11/8,08:42,911-167-1,0,39.796045,-121.586709,Inferred,911-167-1,fire across the street getting big,S,,
911-171-1,11/8,08:43,911-171-1,0,39.796239,-121.586660,911-171-1,911-171-1,fire burning on west side of Skyway,S,,
911-178-2,11/8,08:46,911-178-2,0,39.778331,-121.603978,Inferred,911-178-2,fire on the bike path behind house,S,,
911-182-1,11/8,08:48,911-182-1,0,39.749224,-121.653849,911-182-1,911-182-1,"spot fire started near creek, white smoke coming from the canyon right now",S,,
911-183-2,11/8,08:48,911-183-2,0,39.784771,-121.604407,911-183-2,911-183-2,fire is next door,S,,
911-186-2,11/8,08:49,911-186-2,0,39.772120,-121.611882,911-186-2,911-186-2,spot fire right up to road,O,,
TD-006,11/8,08:51,AVL,0,39.751079,-121.655498,AVL H901,TD,spot fire in Butte Creek Canyon,S,,
911-188-1,11/8,08:52,911-188-1,0,39.787740,-121.591175,Inferred,911-188-1,0.1 ha (0.25 ac) spot fire,S,,
911-195-4,11/8,08:56,911-195-4,0,39.770306,-121.609809,911-195-4,911-195-4,fire at bike path,S,,
911-200-1,11/8,08:57,911-200-1,0,39.751090,-121.652243,Inferred,911-200-1,spot fire kind of by Valley View Dr,S,,
911-202-1,11/8,08:59,911-202-1,0,39.750171,-121.651946,Inferred,911-202-1,"spot fire visible, just started, rapid spread",S,,
TD-064,11/8,09:00,Inferred,30,39.795743,-121.586371,TD,TD,"bike path and Skyway fully involved in fire, both sides of Skyway",V,,
TD-064,11/8,09:00,Inferred,30,39.788627,-121.591629,TD,TD,"fire still to east of bike path south of Bel Air Dr, north of Station 35",O,,
TD-038,11/8,09:00,TD,0,39.746843,-121.653427,TD,TD,fire in backyard on Russell Dr,S,,
911-204-1,11/8,09:00,911-204-1,0,39.750408,-121.652292,Inferred,911-204-1,spot fire just started,S,,
911-205-1,11/8,09:01,911-205-1,0,39.783018,-121.604111,911-205-1,911-205-1,fire,S,,
911-207-1,11/8,09:02,911-207-1,0,39.804374,-121.578145,Inferred,911-207-1,new fire starting,S,,
911-217-1,11/8,09:07,911-217-1,0,39.804374,-121.578145,Inferred,911-217-1,fire both sides of road,S,,
911-218-1,11/8,09:08,911-218-1,0,39.748911,-121.653470,Inferred,911-218-1,can see fire in the canyon,S,,
911-221-1,11/8,09:11,911-221-1,0,39.750934,-121.653271,Inferred,911-221-1,fire in the canyon off of Point West Dr,S,,
911-225-1,11/8,09:12,911-225-1,0,39.748218,-121.654093,911-225-1,911-225-1,"fire in canyon, not too big yet",S,,
TD-055,11/8,09:14,Radio Log,0,39.749567,-121.652485,TD,TD,"well seated fire seen down in Butte Creek Canyon, moving good, multiple ac",S,,
TD-015,11/8,09:15,TD,0,39.779312,-121.603898,TD,TD,spot fires between Skyway and bike path,S,,
911-230-1,11/8,09:16,911-230-1,0,39.804374,-121.578145,Inferred,911-230-1,structures are burning,R,,
TD-067,11/8,09:20,Inferred,0,39.795551,-121.585929,TD,TD,area already burned through; underground powerlines arcing through power box,V,x,
TD-111,11/8,09:21,Radio Log,0,39.777657,-121.606241,TD,Radio Log,"Skyway at Wagstaff Rd about to be threatened, multiple cars on fire in the area",O,,
TD-111,11/8,09:21,Inferred,0,39.777667,-121.604621,TD,TD,well-established spot fire off Wagstaff Rd near the bike path,S,,
TD-064,11/8,09:30,TD,0,39.783553,-121.600035,TD,TD,fire in area,O,,
TD-064,11/8,09:30,TD,0,39.783221,-121.601084,TD,TD,fire to SW of Skyway at Quail Way,R,,
TD-127,11/8,09:37,Radio Log,0,39.777659,-121.604169,Radio Log,Radio Log,structures burning; vehicles about to get overrun,R,,
PPD-02,11/8,09:46,PPD-02,1,39.802526,-121.578640,video,video,spot fire in veg on both sides of Skyway up against roadway,S,,
TD-127,11/8,09:47,Radio Log,0,39.777659,-121.604169,Radio Log,Radio Log,fire coming across Wagstaff Rd,O,,
TD-022,11/8,09:52,Inferred,0,39.790719,-121.588557,TD,TD,"vegetation fire at end of Pheasant Ridge Dr, both sides",S,,
TD-022,11/8,10:00,Inferred,15,39.793035,-121.588428,TD,TD,high heat impacting stuck vehicles in area; flames are sheeting,O,,
TD-007,11/8,10:10,Radio Log,0,39.748925,-121.652728,TD,TD,established spot fire in Butte Creek Canyon,V,,
Radio Log,11/8,10:10,Radio Log,0,39.748447,-121.651678,Radio Log,Radio Log,"fire is well established in Honey Run Canyon just below Canyon View Dr, multiple spots running back up towards Canyon View Dr",V,,
TD-011,11/8,10:15,TD,105,39.746192,-121.646979,TD,TD,Skyway burned over at some point when traffic was heaviest,O,,
TD-155,11/8,10:19,Photo,0,39.745867,-121.645279,Photo,Photo,"fire burning south side Skyway, fences, structures, vegetation",R,,
TD-155,11/8,10:19,Photo,0,39.745158,-121.648392,Photo,Photo,vegetation fire along south/east edge of roadway,V,,
TD-155,11/8,10:19,Photo,0,39.745403,-121.647986,Photo,Photo,"vegetation fire along south/east edge of roadway, sending off embers",V,,
TD-155,11/8,10:21,Photo,0,39.746317,-121.646081,Photo,Photo,fence and vegetation burning,O,,
TD-155,11/8,10:21,Photo,0,39.746317,-121.646081,Photo,Photo,fence and vegetation burning,O,,
TD-155,11/8,10:22,Photo,0,39.746317,-121.646081,Photo,Photo,fence and vegetation burning,O,,
