Source #,Date,Time,Time Source,Obs Window (min),Latitude,Longitude,Location Source,Info Source,Fire Behavior Observations,Type of Fire,Residual Fire?,SSI
TD-111,11/8,08:41,Inferred,4,39.749885,-121.653210,TD,TD,"fire had clearly spotted over Paradise, can see smoke in canyon",S,,
911-182-1,11/8,08:48,911-182-1,0,39.749224,-121.653849,911-182-1,911-182-1,"spot fire started near creek, white smoke coming from the canyon right now",S,,
TD-006,11/8,08:51,AVL,0,39.751079,-121.655498,AVL H901,TD,spot fire in Butte Creek Canyon,S,,
911-200-1,11/8,08:57,911-200-1,0,39.751090,-121.652243,Inferred,911-200-1,spot fire kind of by Valley View Dr,S,,
911-202-1,11/8,08:59,911-202-1,0,39.750171,-121.651946,Inferred,911-202-1,"spot fire visible, just started, rapid spread",S,,
TD-038,11/8,09:00,TD,0,39.746843,-121.653427,TD,TD,fire in backyard on Russell Dr,S,,
911-204-1,11/8,09:00,911-204-1,0,39.750408,-121.652292,Inferred,911-204-1,spot fire just started,S,,
911-218-1,11/8,09:08,911-218-1,0,39.748911,-121.653470,Inferred,911-218-1,can see fire in the canyon,S,,
911-221-1,11/8,09:11,911-221-1,0,39.750934,-121.653271,Inferred,911-221-1,fire in the canyon off of Point West Dr,S,,
911-225-1,11/8,09:12,911-225-1,0,39.748218,-121.654093,911-225-1,911-225-1,"fire in canyon, not too big yet",S,,
TD-055,11/8,09:14,Radio Log,0,39.749567,-121.652485,TD,TD,"well seated fire seen down in Butte Creek Canyon, moving good, multiple ac",S,,
TD-007,11/8,10:10,Radio Log,0,39.748925,-121.652728,TD,TD,established spot fire in Butte Creek Canyon,V,,
Radio Log,11/8,10:10,Radio Log,0,39.748447,-121.651678,Radio Log,Radio Log,"fire is well established in Honey Run Canyon just below Canyon View Dr, multiple spots running back up towards Canyon View Dr",V,,
TD-012,11/8,13:28,Photo,0,39.753186,-121.657372,Photo,Photo,fire burning on ridge at end of Point West Dr,V,,
TD-012,11/8,13:30,Photo,0,39.753186,-121.657372,Photo,Photo,"flames on west side of paradise, view from Doe Mill Rd; fire burning on ridge at end of Point West Dr (Valley Ridge Dr)",V,,
TD-044,11/8,14:30,TD,30,39.758911,-121.657097,TD,TD,saw flames in canyon to west,V,,
TD-123,11/8,15:54,AVL,15,39.762050,-121.622783,AVL,TD,small propane tank blows,O,,
TD-123,11/8,15:54,AVL,15,39.762409,-121.622805,AVL,TD,Jack in the Box restaurant building on fire,C,,
TD-123,11/8,15:54,AVL,15,39.762244,-121.622885,AVL,TD,commercial building on fire,C,,
TD-014,11/8,16:55,AVL,0,39.765405,-121.626297,AVL,TD,Fire all around,O,,
TD-020,11/8,17:00,Photo,0,39.760163,-121.647251,Photo,Photo,"all but 3 structures are burned to foundation and flaming; 2 standing, 1 other well-involved",R,x,
TD-020,11/8,17:00,Photo,0,39.760029,-121.646928,Photo,Photo,structure well involved; landscaping vegetation on fire or igniting,R,,
TD-014,11/8,17:10,AVL,35,39.762229,-121.649664,Radio Log,TD,fire making a hard run out of the canyon,V,,
TD-201,11/8,17:45,AVL,40,39.762561,-121.622127,AVL,TD,downtown commercial buildings are burning or catching,C,,
TD-020,11/8,17:52,Radio Log,59,39.760295,-121.647590,TD,TD,most structures burning on Valley Ridge Dr,R,,
TD-020,11/8,17:52,Radio Log,59,39.759942,-121.647294,TD,TD,fire threatening structures,O,,
TD-020,11/8,17:52,Radio Log,59,39.759829,-121.647638,TD,TD,"bushes, fences on fire",O,,
TD-123,11/8,18:23,AVL,44,39.763283,-121.622533,AVL,TD,fire threatening structures,O,,
TD-044,11/8,19:00,TD,60,39.759285,-121.644392,TD,TD,loose burning vegetation blowing against structure; embers everywhere now,V,,
TD-044,11/8,19:00,TD,180,39.759363,-121.645332,TD,TD,putting out spot fires all over,S,,
TD-044,11/8,19:00,TD,180,39.759928,-121.645674,TD,TD,Fence to boat to house ignition,R,,
TD-111,11/8,19:00,Inferred,225,39.760085,-121.647534,TD,TD,fire threatening structure,O,,
TD-123,11/8,19:41,AVL,10,39.763317,-121.622567,AVL,TD,fire threatening structures,O,,
TD-109,11/8,19:51,AVL,103,39.761608,-121.636388,AVL,TD,a lot already on fire,R,,
TD-123,11/8,20:00,AVL,26,39.760050,-121.647250,AVL,AVL,fire threatening structures,O,,
TD-123,11/8,20:59,AVL,4,39.759167,-121.647500,AVL,TD,burned car in driveway,O,,
TD-030,11/8,21:18,AVL,28,39.760150,-121.647250,AVL,"TD, Inferred",fire threatening structures,O,,
TD-122,11/8,21:56,AVL,7,39.762700,-121.622300,AVL,TD,fire threatening structures,O,,
TD-044,11/8,22:30,TD,0,39.759653,-121.646100,TD,TD,structure ignites from direct flames from wood pile,R,,
TD-044,11/8,22:30,TD,0,39.759597,-121.646678,TD,TD,structure ignites,R,,
TD-122,11/8,22:35,AVL,31,39.763083,-121.622817,AVL,TD,fire threatening structures,O,,
TD-044,11/8,23:00,TD,0,39.759855,-121.645544,TD,TD,sheds and fences burning,O,,
TD-030,11/8,23:27,AVL,450,39.760150,-121.647250,AVL,AVL,fire threatening structures,O,,
TD-017,11/8,23:47,,80,39.757412,-121.644727,TD,TD,fire threatening homes,O,,
TD-017,11/8,23:47,,80,39.756752,-121.643697,TD,TD,fires in the area,O,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
