Source #,Date,Time,Time Source,Obs Window (min),Latitude,Longitude,Location Source,Info Source,Fire Behavior Observations,Type of Fire,Residual Fire?,SSI
911-077-3,11/8,07:53,911-077-3,0,39.778763,-121.577193,911-077-3,911-077-3,vegetation fire in side yard,S,,
911-129-1,11/8,08:24,911-129-1,0,39.777911,-121.598330,911-129-1,911-129-1,fire,S,,
TD-064,11/8,08:30,Inferred,14,39.778184,-121.585895,TD,TD,notice spot fires on north side of Wagstaff Rd between Clark Rd and Pentz Rd,S,,
911-141-2,11/8,08:31,911-141-2,0,39.775971,-121.600466,911-141-2,911-141-2,house on fire,R,,
911-157-1,11/8,08:37,911-157-1,0,39.776591,-121.588145,911-157-1,911-157-1,field behind Kmart on fire,S,,
TD-067,11/8,08:38,911-158-1,0,39.779476,-121.587807,TD,"TD, 911-158-1",spot fire,S,,
911-158-1,11/8,08:38,911-158-1,0,39.779450,-121.587721,911-158-1,911-158-1,"spot fire in grass, just started, small but still burning",S,,
911-162-1,11/8,08:39,911-162-1,0,39.778220,-121.604211,Inferred,911-162-1,flames on bike path,S,,
911-163-1,11/8,08:39,911-163-1,0,39.784007,-121.612384,Inferred,911-163-1,"smoke coming out of Little Butte Creek Canyon, just started, somewhere about Lucky Ln",S,,
TD-014,11/8,08:40,Radio Log,0,39.777786,-121.579607,Radio Log,Radio Log,multiple spot fires [in area of] Pentz Rd / Wagstaff Rd,S,,
TD-075,11/8,08:40,Inferred,6,39.777730,-121.590638,TD,TD,noticed embers flying through air,O,,
TD-067,11/8,08:40,Inferred,6,39.779476,-121.587807,TD,TD,smaller spot fire in grass behind church,S,,
TD-042,11/8,08:40,Inferred,0,39.778477,-121.577106,TD,TD,half of mobile homes in Ridgewood mobile home park are on fire,R,,
911-169-1,11/8,08:43,911-169-1,0,39.777959,-121.603210,911-169-1,911-169-1,fire behind the house,S,,
PPD-02,11/8,08:43,PPD-02,0,39.778604,-121.588499,Radio,Radio,large tree on fire between Wagstaff Rd and Della Ln by the school district office,S,,
PPD-02,11/8,08:43,PPD-02,0,39.779087,-121.577092,Radio,Radio,"Ridgewood mobile home park; fires directly behind, homes becoming involved",R,,
TD-067,11/8,08:46,PPD video,0,39.776799,-121.588842,TD,TD,observed fully involved pine tree on south side Wagstaff Rd,S,,
TD-067,11/8,08:46,Inferred,20,39.778443,-121.578823,TD,TD,"Ridgewood MHP, portions are burning",R,,
PPD-02,11/8,08:46,PPD-02,0,39.777473,-121.588112,Radio,Radio,spot fire; large tree and field involved,S,,
911-178-2,11/8,08:46,911-178-2,0,39.778331,-121.603978,Inferred,911-178-2,fire on the bike path behind house,S,,
TD-053,11/8,08:50,Inferred,10,39.777706,-121.594897,TD,TD,"houses burning, trees burning on north side",R,,
PPD-02,11/8,08:52,PPD-02,0,39.778476,-121.579561,Radio,Radio,fire reaching Pentz Rd now (Ridgewood MHP),O,,
TD-043,11/8,08:55,Inferred,21,39.778869,-121.578982,TD,TD,mobile homes are burning in Ridgeway MHP (NW corner),R,,
TD-043,11/8,08:58,Inferred,18,39.778472,-121.576890,TD,TD,mobile homes burning; pass through fire twice in mobile home park to escape back to Pentz Rd (Ridgewood Mobile Home Park),R,,
TD-085,11/8,08:59,AVL,0,39.777336,-121.577799,AVL,TD,Ponderosa mobile home park burning; sending ember showers,R,,
TD-085,11/8,08:59,AVL,40,39.778433,-121.578792,AVL,TD,all mobile homes on fire (Ridgewood MHP),R,,
TD-043,11/8,09:00,"TD-085, TD-022",30,39.777779,-121.579642,TD,TD,pine trees igniting at intersection,V,,
TD-053,11/8,09:00,Inferred,0,39.776337,-121.588374,TD,TD,fire east of Kmart,R,,
PPD-02,11/8,09:01,PPD-02,0,39.778583,-121.579579,Radio,Radio,fire threatening vehicles,O,,
TD-042,11/8,09:15,Inferred,68,39.777646,-121.603153,TD,TD,numerous spot fires closer to Skyway,S,,
TD-017,11/8,09:17,AVL,103,39.777667,-121.598330,TD,TD,"Fire now spotting, pinching Wagstaff Rd between Clark Rd and Skyway",S,,
TD-111,11/8,09:21,Radio Log,0,39.777657,-121.606241,TD,Radio Log,"Skyway at Wagstaff about to be threatened, multiple cars on fire in the area",O,,
TD-111,11/8,09:21,Inferred,0,39.777667,-121.604621,TD,TD,well-established spot fire off Wagstaff Rd near the bike path,S,,
VTD-18,11/8,09:28,TD,0,39.776810,-121.588771,video,video,tall pine tree bark burning along the entire trunk,V,,
TD-052,11/8,09:28,Photo,0,39.778000,-121.590473,Photo,Photo,fire has burned up bark of tall pine tree behind (east) Savemart,V,x,
TD-017,11/8,09:30,Radio Log,0,39.777731,-121.590543,Radio Log,Radio Log,fire is well established [in area around] Clark Rd and Wagstaff Rd,O,,
TD-127,11/8,09:30,Inferred,30,39.777987,-121.598007,TD,TD,fire is burning from the NE into area of Rocky Ln and Wagstaff Rd,O,,
VTD-18,11/8,09:30,TD,0,39.777301,-121.587854,video,video,smoke plume rising from east of commercial buildings (estimated source location),O,,
VTD-18,11/8,09:32,TD,0,39.776068,-121.588136,video,video,orange glow coming from east of commercial buildings (estimated source location),O,,
TD-127,11/8,09:37,Radio Log,0,39.777659,-121.604169,Radio Log,Radio Log,structures burning; vehicles about to get overrun,R,,
TD-055,11/8,09:40,Radio Log,0,39.777682,-121.602032,Radio Log,Radio Log,several structures threatened/involved,R,,
VTD-18,11/8,09:43,TD,0,39.775481,-121.588899,video,video, 30 m (100 ft) tall pine tree torches in 22 s; starts off major fire behind buildings,O,,
TD-058,11/8,09:44,video,0,39.775481,-121.588899,video,"TD, video",trees torching,V,,
TD-052,11/8,09:44,Photo,0,39.775554,-121.588966,Photo,Photo,very tall pine torching tree behind Savemart (Paradise Plaza),V,,
TD-127,11/8,09:47,Radio Log,0,39.777659,-121.604169,Radio Log,Radio Log,fire coming across Wagstaff Rd,O,,
